分拣中心,日期,货量
SC26,2023/8/24,3734
SC26,2023/11/23,3717
SC26,2023/8/26,4397
SC26,2023/11/3,5988
SC26,2023/11/14,4834
SC26,2023/10/10,3943
SC26,2023/8/17,4132
SC26,2023/10/5,4409
SC26,2023/9/15,4205
SC26,2023/11/5,5327
SC26,2023/9/23,5301
SC26,2023/9/2,4872
SC26,2023/10/28,5323
SC26,2023/8/20,4844
SC26,2023/8/27,4589
SC26,2023/11/13,5027
SC26,2023/8/23,3895
SC26,2023/10/2,3547
SC26,2023/10/20,5247
SC26,2023/8/1,5243
SC26,2023/8/4,4139
SC26,2023/11/22,4141
SC26,2023/9/22,5311
SC26,2023/9/19,4952
SC26,2023/9/10,4116
SC26,2023/11/26,4035
SC26,2023/8/10,4091
SC26,2023/11/24,3924
SC26,2023/11/30,4477
SC26,2023/10/12,3621
SC26,2023/11/28,4013
SC26,2023/8/13,3738
SC26,2023/11/15,4289
SC26,2023/8/14,4293
SC26,2023/8/29,4397
SC26,2023/8/19,4743
SC26,2023/10/21,4238
SC26,2023/10/25,6160
SC26,2023/8/21,5282
SC26,2023/9/16,4520
SC26,2023/10/27,5382
SC26,2023/11/12,8831
SC26,2023/8/12,3826
SC26,2023/9/13,4195
SC26,2023/9/1,4829
SC26,2023/8/31,4087
SC26,2023/9/18,4904
SC26,2023/9/9,5381
SC26,2023/11/4,5874
SC26,2023/9/4,5522
SC26,2023/11/21,4390
SC26,2023/10/3,3607
SC26,2023/10/4,3926
SC26,2023/10/30,5255
SC26,2023/10/18,3721
SC26,2023/11/10,5511
SC26,2023/9/7,4852
SC26,2023/11/2,6571
SC26,2023/10/14,3614
SC26,2023/8/15,4746
SC26,2023/11/6,5777
SC26,2023/8/9,4294
SC26,2023/9/12,4479
SC26,2023/11/20,3802
SC26,2023/10/22,4427
SC26,2023/10/11,3698
SC26,2023/8/30,4162
SC26,2023/9/30,3328
SC26,2023/9/24,5471
SC26,2023/10/23,5055
SC26,2023/9/5,5396
SC26,2023/9/3,4868
SC26,2023/8/11,3974
SC26,2023/9/27,4573
SC26,2023/8/8,4076
SC26,2023/10/13,3636
SC26,2023/11/18,3991
SC26,2023/11/25,3988
SC26,2023/11/7,5694
SC26,2023/10/24,6876
SC26,2023/11/11,13697
SC26,2023/9/28,4259
SC26,2023/8/5,3951
SC26,2023/10/15,3398
SC26,2023/10/17,4025
SC26,2023/8/18,4119
SC26,2023/11/1,11294
SC26,2023/8/7,3993
SC26,2023/10/6,4063
SC26,2023/9/8,4283
SC26,2023/11/29,4142
SC26,2023/10/29,5548
SC26,2023/9/29,4008
SC26,2023/9/26,4775
SC26,2023/11/27,3921
SC26,2023/8/3,4055
SC26,2023/11/16,3968
SC26,2023/8/16,4544
SC26,2023/9/14,4091
SC26,2023/11/8,5739
SC26,2023/9/20,5741
SC26,2023/10/19,3889
SC26,2023/9/21,5242
SC26,2023/11/17,4079
SC26,2023/8/2,4069
SC26,2023/10/8,4028
SC26,2023/9/11,4253
SC26,2023/10/31,3800
SC26,2023/11/9,5615
SC26,2023/8/25,3885
SC26,2023/10/16,4317
SC26,2023/8/6,3808
SC26,2023/10/9,3763
SC26,2023/9/17,4497
SC26,2023/11/19,3777
SC26,2023/9/6,4824
SC26,2023/8/28,4999
SC26,2023/10/1,3747
SC26,2023/9/25,5848
SC26,2023/10/7,4622
SC26,2023/10/26,5506
SC26,2023/8/22,4969
