SC_ID,date,value
SC3,2023/10/25,15739
SC3,2023/10/30,11957
SC3,2023/9/5,10613
SC3,2023/8/4,9222
SC3,2023/11/13,19350
SC3,2023/9/24,11664
SC3,2023/10/8,10422
SC3,2023/9/29,11024
SC3,2023/9/2,12121
SC3,2023/10/24,13677
SC3,2023/8/1,9206
SC3,2023/10/4,8092
SC3,2023/10/5,8482
SC3,2023/8/5,9800
SC3,2023/8/11,10067
SC3,2023/9/8,11796
SC3,2023/11/9,14139
SC3,2023/11/28,12200
SC3,2023/8/19,10501
SC3,2023/10/22,11221
SC3,2023/9/30,10020
SC3,2023/11/29,12967
SC3,2023/8/7,8946
SC3,2023/10/12,10758
SC3,2023/11/16,14508
SC3,2023/11/15,14859
SC3,2023/11/21,12980
SC3,2023/11/3,16132
SC3,2023/8/15,9197
SC3,2023/11/2,21054
SC3,2023/9/14,11481
SC3,2023/9/9,11773
SC3,2023/10/15,10624
SC3,2023/11/18,13801
SC3,2023/9/13,11465
SC3,2023/10/10,10818
SC3,2023/11/6,12941
SC3,2023/10/14,10831
SC3,2023/8/21,9481
SC3,2023/8/9,9654
SC3,2023/10/13,10377
SC3,2023/8/16,10028
SC3,2023/9/4,10562
SC3,2023/11/17,13181
SC3,2023/9/27,12309
SC3,2023/8/10,10513
SC3,2023/9/6,11347
SC3,2023/9/23,12754
SC3,2023/10/23,11287
SC3,2023/10/31,11742
SC3,2023/8/24,10296
SC3,2023/11/24,12708
SC3,2023/10/20,11181
SC3,2023/8/3,9358
SC3,2023/10/3,8143
SC3,2023/8/25,10297
SC3,2023/10/26,13170
SC3,2023/9/20,11535
SC3,2023/11/20,13026
SC3,2023/10/29,12388
SC3,2023/8/30,10542
SC3,2023/8/23,9911
SC3,2023/11/19,13730
SC3,2023/9/17,11279
SC3,2023/10/28,13293
SC3,2023/8/8,9461
SC3,2023/11/27,12155
SC3,2023/11/8,14059
SC3,2023/9/18,11005
SC3,2023/9/15,11560
SC3,2023/11/25,12288
SC3,2023/10/7,9493
SC3,2023/9/26,12258
SC3,2023/8/26,10226
SC3,2023/11/5,13873
SC3,2023/11/14,15452
SC3,2023/8/28,9877
SC3,2023/11/22,14302
SC3,2023/9/16,11132
SC3,2023/8/20,9641
SC3,2023/8/29,9996
SC3,2023/9/12,11400
SC3,2023/11/26,12156
SC3,2023/10/19,11339
SC3,2023/9/1,10558
SC3,2023/8/14,9435
SC3,2023/9/11,11127
SC3,2023/10/17,10446
SC3,2023/9/10,10935
SC3,2023/9/25,12124
SC3,2023/8/17,10096
SC3,2023/10/18,11212
SC3,2023/10/2,8704
SC3,2023/11/4,14370
SC3,2023/8/18,9925
SC3,2023/10/9,10499
SC3,2023/11/10,13791
SC3,2023/8/22,9855
SC3,2023/10/16,10655
SC3,2023/9/28,12060
SC3,2023/9/21,12225
SC3,2023/11/23,12936
SC3,2023/11/12,22327
SC3,2023/8/13,9679
SC3,2023/11/7,13555
SC3,2023/8/12,9839
SC3,2023/10/6,9069
SC3,2023/11/1,18859
SC3,2023/8/27,10181
SC3,2023/10/11,10405
SC3,2023/9/3,10629
SC3,2023/11/30,12665
SC3,2023/9/22,12494
SC3,2023/9/7,11600
SC3,2023/8/6,9584
SC3,2023/10/21,11950
SC3,2023/8/31,10797
SC3,2023/9/19,11118
SC3,2023/11/11,19217
SC3,2023/10/27,13446
SC3,2023/8/2,9337
SC3,2023/10/1,9400
