SC_ID,date,value
1,2023/12/31,45192.98857027275
1,2024/01/01,44851.421065775605
1,2024/01/02,44811.20319597403
1,2024/01/03,44840.01818533878
1,2024/01/04,44899.28793608841
1,2024/01/05,44996.399544532745
1,2024/01/06,45092.204533840406
1,2024/01/07,45150.95515793485
1,2024/01/08,45165.568624206004
1,2024/01/09,45145.76000589643
1,2024/01/10,45107.25528095937
1,2024/01/11,45066.67887893318
1,2024/01/12,45036.88475337788
1,2024/01/13,45023.84898647588
1,2024/01/14,45026.71359511261
1,2024/01/15,45040.064269690345
1,2024/01/16,45056.88526804849
1,2024/01/17,45071.116607664095
1,2024/01/18,45079.204775911385
1,2024/01/19,45080.46269028434
1,2024/01/20,45076.459848080776
1,2024/01/21,45069.90444067768
1,2024/01/22,45063.50162830761
1,2024/01/23,45059.13876596911
1,2024/01/24,45057.549574476376
1,2024/01/25,45058.421972536846
1,2024/01/26,45060.79056167313
1,2024/01/27,45063.51416695549
1,2024/01/28,45065.670134968546
1,2024/01/29,45066.77023415268
2,2023/12/31,8286.516093158469
2,2024/01/01,8140.6987049447425
2,2024/01/02,8013.184753917799
2,2024/01/03,7894.4986609991165
2,2024/01/04,7977.55426945414
2,2024/01/05,7991.0520080582355
2,2024/01/06,8026.210732283044
2,2024/01/07,8026.976888989204
2,2024/01/08,8014.636510372799
2,2024/01/09,8010.960507005409
2,2024/01/10,8005.744502735558
2,2024/01/11,8008.0564540511
2,2024/01/12,8009.5813835574145
2,2024/01/13,8010.57023872845
2,2024/01/14,8010.935791205701
2,2024/01/15,8010.378670325213
2,2024/01/16,8010.167255230554
2,2024/01/17,8009.990020216796
2,2024/01/18,8010.03025887366
2,2024/01/19,8010.121382624784
2,2024/01/20,8010.1575167395895
2,2024/01/21,8010.176199035844
2,2024/01/22,8010.156963298599
2,2024/01/23,8010.1440023107425
2,2024/01/24,8010.138041364914
2,2024/01/25,8010.138191846715
2,2024/01/26,8010.142304642587
2,2024/01/27,8010.14410653191
2,2024/01/28,8010.144814038133
2,2024/01/29,8010.1442321861505
3,2023/12/31,12550.15912995997
3,2024/01/01,12608.600675637417
3,2024/01/02,12692.325191859742
3,2024/01/03,12714.628518756916
3,2024/01/04,12722.387003348304
3,2024/01/05,12716.479354330622
3,2024/01/06,12720.703972249852
3,2024/01/07,12718.67238939148
3,2024/01/08,12722.00468243113
3,2024/01/09,12719.940466392838
3,2024/01/10,12721.856081740509
3,2024/01/11,12720.26619572009
3,2024/01/12,12721.629402026496
3,2024/01/13,12720.507552823286
3,2024/01/14,12721.469198647274
3,2024/01/15,12720.664985733052
3,2024/01/16,12721.344309880022
3,2024/01/17,12720.772515821023
3,2024/01/18,12721.254830073649
3,2024/01/19,12720.848737337215
3,2024/01/20,12721.191090293947
3,2024/01/21,12720.902663306519
3,2024/01/22,12721.145727733221
3,2024/01/23,12720.94091988287
3,2024/01/24,12721.113508476286
3,2024/01/25,12720.968079991897
3,2024/01/26,12721.09062721094
3,2024/01/27,12720.98736316302
3,2024/01/28,12721.074379114923
3,2024/01/29,12721.001055088744
4,2023/12/31,22385.36714499289
4,2024/01/01,21680.68807411724
4,2024/01/02,22529.44693637211
4,2024/01/03,21832.218577121286
4,2024/01/04,22605.695987841234
4,2024/01/05,21907.1689395891
4,2024/01/06,22619.612763889796
4,2024/01/07,21945.61416665062
4,2024/01/08,22616.0527524242
4,2024/01/09,21971.271597102714
4,2024/01/10,22604.943363738927
4,2024/01/11,21990.68096651139
4,2024/01/12,22591.436070704633
4,2024/01/13,22007.29679562825
4,2024/01/14,22577.42883566753
4,2024/01/15,22022.32044518056
4,2024/01/16,22563.650453261962
4,2024/01/17,22036.294397121022
4,2024/01/18,22550.377002678008
4,2024/01/19,22049.448155919505
4,2024/01/20,22537.69488980499
4,2024/01/21,22061.89444514937
4,2024/01/22,22525.619708665006
4,2024/01/23,22073.697153416993
4,2024/01/24,22514.13883703989
4,2024/01/25,22084.89988329267
4,2024/01/26,22503.22958635015
4,2024/01/27,22095.53725878219
4,2024/01/28,22492.866099643867
4,2024/01/29,22105.639451996503
5,2023/12/31,21377.02858749928
5,2024/01/01,21725.660789862588
5,2024/01/02,21727.16309885997
5,2024/01/03,21728.918904889073
5,2024/01/04,21720.638207021006
5,2024/01/05,21695.346723392195
5,2024/01/06,21692.497243970152
5,2024/01/07,21692.232507253884
5,2024/01/08,21694.019381997277
5,2024/01/09,21696.11020894037
5,2024/01/10,21696.554048327547
5,2024/01/11,21696.550352483227
5,2024/01/12,21696.325099209305
5,2024/01/13,21696.133693888984
5,2024/01/14,21696.081006047083
5,2024/01/15,21696.085157105084
5,2024/01/16,21696.11035358617
5,2024/01/17,21696.128983564497
5,2024/01/18,21696.134620589586
5,2024/01/19,21696.133839390655
5,2024/01/20,21696.13112505389
5,2024/01/21,21696.12925573569
5,2024/01/22,21696.128681876842
5,2024/01/23,21696.12879424672
5,2024/01/24,21696.12908299114
5,2024/01/25,21696.12927299227
5,2024/01/26,21696.12932987068
5,2024/01/27,21696.129315352602
5,2024/01/28,21696.12928477482
5,2024/01/29,21696.129265377716
6,2023/12/31,28479.38965360936
6,2024/01/01,29171.67111148676
6,2024/01/02,29162.771793978347
6,2024/01/03,29058.917744262406
6,2024/01/04,29094.919506265374
6,2024/01/05,29052.95060903812
6,2024/01/06,28934.872568431638
6,2024/01/07,28863.934405156677
6,2024/01/08,28855.2865510898
6,2024/01/09,28875.424135851175
6,2024/01/10,28912.632887565756
6,2024/01/11,28956.003373189866
6,2024/01/12,28986.577938843933
6,2024/01/13,28994.668207721425
6,2024/01/14,28983.927712866916
