SC_ID,date,hour,value
SC55,2023/11/14,17,246
SC55,2023/11/16,8,477
SC55,2023/11/29,7,147
SC55,2023/11/17,14,269
SC55,2023/11/1,13,619
SC55,2023/11/18,6,16
SC55,2023/11/18,7,178
SC55,2023/11/27,13,206
SC55,2023/11/26,7,124
SC55,2023/11/20,10,442
SC55,2023/11/21,9,418
SC55,2023/11/10,8,534
SC55,2023/11/29,18,368
SC55,2023/11/13,6,314
SC55,2023/11/11,20,152
SC55,2023/11/28,8,222
SC55,2023/11/1,14,531
SC55,2023/11/4,8,521
SC55,2023/11/17,16,210
SC55,2023/11/26,15,332
SC55,2023/11/9,17,454
SC55,2023/11/16,6,38
SC55,2023/11/8,7,338
SC55,2023/11/24,14,210
SC55,2023/11/2,18,449
SC55,2023/11/12,7,651
SC55,2023/11/18,15,377
SC55,2023/11/18,13,350
SC55,2023/11/20,17,387
SC55,2023/11/22,17,236
SC55,2023/11/9,14,354
SC55,2023/11/30,8,202
SC55,2023/11/19,16,219
SC55,2023/11/22,10,364
SC55,2023/11/24,16,310
SC55,2023/11/28,10,282
SC55,2023/11/11,2,1015
SC55,2023/11/8,13,448
SC55,2023/11/19,17,344
SC55,2023/11/10,15,325
SC55,2023/11/30,17,381
SC55,2023/11/4,10,407
SC55,2023/11/8,8,517
SC55,2023/11/30,10,275
SC55,2023/11/2,7,515
SC55,2023/11/15,6,17
SC55,2023/11/1,16,482
SC55,2023/11/23,12,186
SC55,2023/11/26,19,0
SC55,2023/11/18,19,11
SC55,2023/11/21,14,380
SC55,2023/11/16,13,463
SC55,2023/11/9,7,352
SC55,2023/11/9,11,17
SC55,2023/11/13,18,369
SC55,2023/11/4,17,448
SC55,2023/11/7,6,86
SC55,2023/11/10,23,0
SC55,2023/11/22,15,186
SC55,2023/11/18,11,26
SC55,2023/11/14,15,388
SC55,2023/11/4,19,25
SC55,2023/11/10,13,440
SC55,2023/11/7,12,451
SC55,2023/11/5,9,523
SC55,2023/11/28,17,283
SC55,2023/11/19,12,222
SC55,2023/11/4,20,0
SC55,2023/11/6,14,396
SC55,2023/11/12,8,713
SC55,2023/11/1,1,966
SC55,2023/11/17,6,14
SC55,2023/11/30,16,405
SC55,2023/11/15,10,231
SC55,2023/11/4,16,318
SC55,2023/11/11,14,621
SC55,2023/11/30,18,362
SC55,2023/11/18,16,232
SC55,2023/11/26,16,186
SC55,2023/11/27,17,415
SC55,2023/11/16,20,0
SC55,2023/11/17,18,305
SC55,2023/11/9,19,0
SC55,2023/11/20,12,182
SC55,2023/11/1,20,0
SC55,2023/11/25,14,316
SC55,2023/11/11,21,0
SC55,2023/11/25,12,173
SC55,2023/11/14,10,412
SC55,2023/11/15,11,6
SC55,2023/11/17,19,15
SC55,2023/11/6,13,401
SC55,2023/11/28,7,124
SC55,2023/11/1,12,666
SC55,2023/11/12,18,726
SC55,2023/11/26,6,2
SC55,2023/11/2,19,57
SC55,2023/11/12,13,694
SC55,2023/11/12,21,2
SC55,2023/11/25,13,293
SC55,2023/11/12,20,151
SC55,2023/11/19,15,330
SC55,2023/11/3,6,344
SC55,2023/11/13,14,335
SC55,2023/11/4,15,352
SC55,2023/11/23,18,283
SC55,2023/11/29,19,5
SC55,2023/11/16,19,15
SC55,2023/11/21,8,285
SC55,2023/11/4,18,494
SC55,2023/11/28,18,347
SC55,2023/11/28,9,395
SC55,2023/11/15,19,32
SC55,2023/11/17,7,250
SC55,2023/11/9,13,514
SC55,2023/11/7,9,472
SC55,2023/11/6,19,8
SC55,2023/11/2,16,398
SC55,2023/11/23,9,420
SC55,2023/11/24,13,343
SC55,2023/11/11,6,658
SC55,2023/11/25,6,0
SC55,2023/11/29,16,313
SC55,2023/11/5,7,471
SC55,2023/11/1,4,765
SC55,2023/11/23,14,296
SC55,2023/11/29,8,211
SC55,2023/11/8,10,367
SC55,2023/11/17,20,0
SC55,2023/11/27,10,261
SC55,2023/11/5,11,32
SC55,2023/11/18,10,461
SC55,2023/11/6,16,287
SC55,2023/11/27,16,192
SC55,2023/11/3,14,388
SC55,2023/11/14,13,394
SC55,2023/11/26,9,405
SC55,2023/11/9,18,287
SC55,2023/11/7,15,414
SC55,2023/11/21,12,204
SC55,2023/11/11,1,974
SC55,2023/11/27,18,336
SC55,2023/11/24,9,428
SC55,2023/11/6,11,14
SC55,2023/11/29,10,250
SC55,2023/11/22,14,386
SC55,2023/11/13,8,559
SC55,2023/11/22,12,185
SC55,2023/11/13,7,406
SC55,2023/11/20,14,398
SC55,2023/11/10,12,344
SC55,2023/11/2,17,464
SC55,2023/11/29,17,212
SC55,2023/11/7,16,382
SC55,2023/11/26,17,369
SC55,2023/11/1,18,409
SC55,2023/11/23,16,317
SC55,2023/11/2,10,436
SC55,2023/11/15,20,0
SC55,2023/11/11,12,717
SC55,2023/11/5,13,435
SC55,2023/11/9,10,326
SC55,2023/11/20,9,283
SC55,2023/11/22,13,251
SC55,2023/11/18,9,270
SC55,2023/11/21,17,355
SC55,2023/11/9,15,286
SC55,2023/11/27,12,375
SC55,2023/11/24,15,192
SC55,2023/11/1,5,710
SC55,2023/11/7,11,34
SC55,2023/11/14,9,516
SC55,2023/11/23,15,157
SC55,2023/11/10,11,19
SC55,2023/11/29,13,405
SC55,2023/11/28,6,1
SC55,2023/11/1,17,416
SC55,2023/11/7,19,27
SC55,2023/11/19,6,14
SC55,2023/11/13,16,386
SC55,2023/11/20,15,196
SC55,2023/11/3,8,456
SC55,2023/11/1,0,671
SC55,2023/11/17,12,228
SC55,2023/11/26,11,1
SC55,2023/11/1,15,593
SC55,2023/11/14,14,237
SC55,2023/11/27,8,192
SC55,2023/11/16,16,328
SC55,2023/11/16,12,342
SC55,2023/11/26,14,184
SC55,2023/11/6,9,367
SC55,2023/11/8,16,227
SC55,2023/11/2,14,384
SC55,2023/11/12,16,394
SC55,2023/11/1,11,267
SC55,2023/11/1,19,60
SC55,2023/11/24,19,5
SC55,2023/11/19,13,406
SC55,2023/11/29,14,368
SC55,2023/11/21,18,165
SC55,2023/11/18,14,251
SC55,2023/11/9,9,475
SC55,2023/11/25,15,172
SC55,2023/11/4,9,422
SC55,2023/11/11,5,529
SC55,2023/11/11,15,602
SC55,2023/11/3,5,105
SC55,2023/11/23,19,13
SC55,2023/11/23,11,3
SC55,2023/11/5,8,299
SC55,2023/11/19,18,225
SC55,2023/11/17,10,568
SC55,2023/11/3,7,545
SC55,2023/11/17,17,389
SC55,2023/11/15,16,363
SC55,2023/11/5,19,1
SC55,2023/11/8,17,330
SC55,2023/11/1,2,853
SC55,2023/11/12,10,626
SC55,2023/11/12,17,250
SC55,2023/11/27,19,2
SC55,2023/11/30,9,410
SC55,2023/11/11,3,839
SC55,2023/11/25,7,151
SC55,2023/11/25,9,420
SC55,2023/11/4,12,225
SC55,2023/11/11,7,626
SC55,2023/11/9,6,5
SC55,2023/11/7,10,506
SC55,2023/11/23,17,265
SC55,2023/11/26,18,278
SC55,2023/11/2,6,565
SC55,2023/11/10,7,302
SC55,2023/11/7,8,524
SC55,2023/11/13,15,404
SC55,2023/11/13,13,466
SC55,2023/11/27,9,413
SC55,2023/11/23,10,363
SC55,2023/11/6,17,346
SC55,2023/11/2,15,446
SC55,2023/11/12,6,769
SC55,2023/11/14,7,343
SC55,2023/11/6,10,462
SC55,2023/11/10,18,328
SC55,2023/11/16,18,357
SC55,2023/11/20,7,203
SC55,2023/11/10,6,1
SC55,2023/11/29,15,269
SC55,2023/11/2,5,318
SC55,2023/11/22,9,466
SC55,2023/11/15,7,257
SC55,2023/11/27,6,1
SC55,2023/11/28,12,297
SC55,2023/11/3,9,323
SC55,2023/11/19,11,4
SC55,2023/11/11,13,862
SC55,2023/11/12,14,530
SC55,2023/11/1,9,609
SC55,2023/11/21,13,256
SC55,2023/11/5,6,206
SC55,2023/11/10,16,240
SC55,2023/11/14,6,48
SC55,2023/11/26,13,382
SC55,2023/11/21,16,392
SC55,2023/11/22,6,0
SC55,2023/11/20,6,14
SC55,2023/11/16,15,297
SC55,2023/11/23,13,252
SC55,2023/11/10,9,487
SC55,2023/11/7,13,461
SC55,2023/11/16,9,371
SC55,2023/11/13,20,0
SC55,2023/11/3,12,275
SC55,2023/11/15,9,419
SC55,2023/11/5,10,369
SC55,2023/11/20,11,8
SC55,2023/11/14,11,22
SC55,2023/11/6,15,387
SC55,2023/11/5,17,295
SC55,2023/11/11,0,726
SC55,2023/11/1,6,797
SC55,2023/11/27,14,392
SC55,2023/11/22,19,1
SC55,2023/11/14,19,17
SC55,2023/11/9,8,466
SC55,2023/11/17,11,32
SC55,2023/11/26,10,261
SC55,2023/11/14,12,250
SC55,2023/11/2,13,448
SC55,2023/11/4,6,275
SC55,2023/11/18,20,0
SC55,2023/11/8,15,373
SC55,2023/11/7,7,300
SC55,2023/11/12,5,537
SC55,2023/11/24,17,214
SC55,2023/11/12,15,518
SC55,2023/11/13,19,72
SC55,2023/11/17,13,470
SC55,2023/11/20,18,348
SC55,2023/11/30,6,0
SC55,2023/11/14,18,367
SC55,2023/11/22,18,225
SC55,2023/11/6,8,544
SC55,2023/11/24,10,425
SC55,2023/11/21,15,152
SC55,2023/11/30,12,325
SC55,2023/11/25,8,248
SC55,2023/11/3,11,17
SC55,2023/11/21,6,6
SC55,2023/11/19,9,299
SC55,2023/11/30,14,352
SC55,2023/11/23,7,204
SC55,2023/11/13,11,6
SC55,2023/11/1,10,593
SC55,2023/11/23,8,298
SC55,2023/11/22,7,204
SC55,2023/11/15,18,407
SC55,2023/11/18,17,397
SC55,2023/11/8,12,445
SC55,2023/11/15,8,504
SC55,2023/11/11,19,598
SC55,2023/11/25,11,2
SC55,2023/11/28,14,380
SC55,2023/11/11,9,692
SC55,2023/11/2,20,0
SC55,2023/11/11,11,310
SC55,2023/11/30,11,0
SC55,2023/11/21,7,232
SC55,2023/11/3,15,360
SC55,2023/11/13,12,280
SC55,2023/11/5,18,276
SC55,2023/11/12,12,647
SC55,2023/11/3,16,335
SC55,2023/11/19,14,202
SC55,2023/11/15,13,262
SC55,2023/11/4,7,459
SC55,2023/11/30,7,101
SC55,2023/11/25,16,230
SC55,2023/11/8,18,350
SC55,2023/11/24,12,182
SC55,2023/11/11,16,680
SC55,2023/11/1,21,0
SC55,2023/11/29,12,231
SC55,2023/11/15,17,296
SC55,2023/11/3,13,431
SC55,2023/11/8,14,347
SC55,2023/11/10,19,1
SC55,2023/11/16,11,24
SC55,2023/11/19,19,1
SC55,2023/11/20,19,1
SC55,2023/11/22,11,20
SC55,2023/11/2,12,286
SC55,2023/11/6,12,320
SC55,2023/11/15,15,202
SC55,2023/11/28,16,289
SC55,2023/11/11,4,825
SC55,2023/11/7,14,452
SC55,2023/11/2,8,425
SC55,2023/11/25,18,279
SC55,2023/11/17,8,475
SC55,2023/11/15,14,333
SC55,2023/11/20,13,371
SC55,2023/11/6,7,263
SC55,2023/11/28,19,0
SC55,2023/11/8,9,510
SC55,2023/11/3,19,15
SC55,2023/11/4,14,347
SC55,2023/11/15,12,414
SC55,2023/11/5,16,282
SC55,2023/11/19,7,222
SC55,2023/11/16,7,227
SC55,2023/11/29,6,0
SC55,2023/11/18,18,361
SC55,2023/11/24,18,268
SC55,2023/11/4,11,7
SC55,2023/11/25,19,0
SC55,2023/11/6,6,16
SC55,2023/11/3,18,294
SC55,2023/11/11,18,627
SC55,2023/11/21,10,390
SC55,2023/11/7,17,416
SC55,2023/11/14,8,500
SC55,2023/11/20,8,485
SC55,2023/11/27,11,116
SC55,2023/11/22,8,263
SC55,2023/11/9,12,404
SC55,2023/11/17,15,437
SC55,2023/11/25,10,423
SC55,2023/11/30,13,195
SC55,2023/11/11,10,576
SC55,2023/11/11,8,652
SC55,2023/11/16,17,346
SC55,2023/11/2,9,364
SC55,2023/11/12,19,601
SC55,2023/11/27,15,204
SC55,2023/11/21,11,4
SC55,2023/11/19,8,532
SC55,2023/11/4,13,440
SC55,2023/11/29,9,381
SC55,2023/11/24,7,186
SC55,2023/11/28,13,262
SC55,2023/11/1,7,661
SC55,2023/11/5,12,247
SC55,2023/11/12,11,415
SC55,2023/11/21,19,3
SC55,2023/11/16,10,275
SC55,2023/11/8,19,4
SC55,2023/11/3,17,356
SC55,2023/11/3,10,269
SC55,2023/11/30,19,30
SC55,2023/11/12,9,681
SC55,2023/11/28,11,11
SC55,2023/11/6,18,244
SC55,2023/11/25,17,333
SC55,2023/11/8,11,12
SC55,2023/11/11,17,524
SC55,2023/11/17,9,300
SC55,2023/11/18,8,509
SC55,2023/11/26,8,241
SC55,2023/11/10,17,359
SC55,2023/11/9,16,316
SC55,2023/11/10,10,487
SC55,2023/11/2,11,1
SC55,2023/11/7,18,341
SC55,2023/11/30,15,246
SC55,2023/11/29,11,0
SC55,2023/11/5,14,405
SC55,2023/11/19,10,456
SC55,2023/11/24,8,283
SC55,2023/11/13,9,414
SC55,2023/11/28,15,257
SC55,2023/11/1,8,437
SC55,2023/11/14,16,348
SC55,2023/11/1,3,783
SC55,2023/11/13,17,419
SC55,2023/11/20,16,219
SC55,2023/11/13,10,349
SC55,2023/11/7,20,0
SC55,2023/11/5,15,316
SC55,2023/11/26,12,156
SC55,2023/11/10,14,397
SC55,2023/11/16,14,363
SC55,2023/11/5,5,0
SC55,2023/11/22,16,243
SC55,2023/11/27,7,104
SC55,2023/11/18,12,215
