始发分拣中心,到达分拣中心,货量,总货量,百分比
SC22,SC8,296,1078,27.458256029684602
SC18,SC8,213,1068,19.9438202247191
SC7,SC8,240,876,27.397260273972602
SC15,SC8,172,579,29.70639032815199
SC52,SC8,72,394,18.274111675126903
SC2,SC8,104,890,11.685393258426966
SC28,SC8,54,184,29.347826086956523
SC19,SC8,257,1547,16.61279896574014
SC44,SC8,139,588,23.639455782312925
SC23,SC8,103,356,28.932584269662918
SC30,SC8,75,375,20.0
SC36,SC8,97,324,29.938271604938272
SC4,SC8,147,451,32.59423503325942
SC24,SC8,205,994,20.62374245472837
SC22,SC15,67,1078,6.215213358070501
SC7,SC15,176,876,20.091324200913242
SC19,SC15,336,1547,21.71945701357466
SC8,SC15,38,654,5.81039755351682
SC44,SC15,16,588,2.7210884353741496
SC63,SC15,245,245,100.0
SC4,SC15,15,451,3.325942350332594
SC51,SC15,12,12,100.0
SC22,SC47,340,1078,31.539888682745826
SC18,SC47,234,1068,21.910112359550563
SC7,SC47,211,876,24.08675799086758
SC55,SC47,84,320,26.25
SC15,SC47,240,579,41.45077720207254
SC52,SC47,62,394,15.736040609137056
SC2,SC47,104,890,11.685393258426966
SC28,SC47,70,184,38.04347826086957
SC19,SC47,351,1547,22.689075630252102
SC8,SC47,203,654,31.039755351681958
SC43,SC47,180,375,48.0
SC44,SC47,146,588,24.829931972789115
SC23,SC47,134,356,37.640449438202246
SC30,SC47,68,375,18.133333333333333
SC36,SC47,133,324,41.04938271604938
SC4,SC47,150,451,33.25942350332594
SC24,SC47,209,994,21.026156941649898
SC48,SC47,43,122,35.24590163934426
SC22,SC7,204,1078,18.923933209647494
SC18,SC7,222,1068,20.786516853932586
SC55,SC7,128,320,40.0
SC15,SC7,167,579,28.842832469775477
SC52,SC7,79,394,20.050761421319795
SC2,SC7,99,890,11.123595505617978
SC28,SC7,30,184,16.304347826086957
SC19,SC7,225,1547,14.544279250161605
SC8,SC7,171,654,26.146788990825687
SC44,SC7,142,588,24.149659863945576
SC23,SC7,62,356,17.415730337078653
SC30,SC7,85,375,22.666666666666664
SC4,SC7,139,451,30.820399113082043
SC24,SC7,234,994,23.541247484909455
SC48,SC7,35,122,28.688524590163933
SC22,SC5,122,1078,11.317254174397032
SC18,SC5,188,1068,17.60299625468165
SC7,SC5,117,876,13.356164383561644
SC52,SC5,69,394,17.512690355329948
SC2,SC5,96,890,10.786516853932584
SC28,SC5,22,184,11.956521739130435
SC19,SC5,173,1547,11.182934712346478
SC8,SC5,146,654,22.32415902140673
SC44,SC5,145,588,24.65986394557823
SC23,SC5,41,356,11.51685393258427
SC30,SC5,64,375,17.066666666666666
SC24,SC5,138,994,13.883299798792756
SC22,SC4,49,1078,4.545454545454546
SC18,SC4,48,1068,4.49438202247191
SC7,SC4,77,876,8.789954337899543
SC52,SC4,63,394,15.989847715736042
SC2,SC4,81,890,9.101123595505618
SC28,SC4,8,184,4.3478260869565215
SC19,SC4,137,1547,8.855850032320621
SC8,SC4,96,654,14.678899082568808
SC23,SC4,16,356,4.49438202247191
SC30,SC4,47,375,12.533333333333333
SC18,SC51,14,1068,1.3108614232209739
SC7,SC51,55,876,6.278538812785388
SC52,SC51,49,394,12.436548223350254
SC2,SC51,50,890,5.617977528089887
SC19,SC51,68,1547,4.395604395604396
SC30,SC51,36,375,9.6
SC18,SC2,149,1068,13.951310861423222
SC36,SC2,94,324,29.01234567901235
SC38,SC6,261,261,100.0
SC32,SC6,88,268,32.83582089552239
SC21,SC6,123,388,31.70103092783505
SC12,SC6,560,560,100.0
SC27,SC25,115,289,39.792387543252595
SC16,SC25,76,158,48.10126582278481
SC29,SC25,129,464,27.801724137931032
SC56,SC25,176,382,46.07329842931937
SC37,SC25,207,207,100.0
SC54,SC25,182,347,52.44956772334294
SC58,SC25,196,233,84.12017167381974
SC1,SC25,254,254,100.0
SC27,SC1,174,289,60.207612456747405
SC16,SC1,82,158,51.89873417721519
SC29,SC1,335,464,72.19827586206897
SC56,SC1,206,382,53.92670157068062
SC54,SC1,165,347,47.55043227665706
SC58,SC1,37,233,15.879828326180256
SC25,SC1,50,50,100.0
SC55,SC44,108,320,33.75
SC5,SC44,32,32,100.0
SC43,SC44,195,375,52.0
SC24,SC44,208,994,20.92555331991952
SC48,SC44,44,122,36.0655737704918
SC66,SC44,281,281,100.0
SC2,SC19,356,890,40.0
SC60,SC57,256,256,100.0
SC68,SC57,30,108,27.77777777777778
SC32,SC57,59,268,22.01492537313433
SC21,SC57,76,388,19.587628865979383
SC10,SC57,183,183,100.0
SC68,SC10,78,108,72.22222222222221
SC32,SC10,85,268,31.716417910447763
SC21,SC10,78,388,20.103092783505154
SC61,SC10,228,228,100.0
SC26,SC10,123,123,100.0
SC32,SC60,36,268,13.432835820895523
SC21,SC60,111,388,28.60824742268041
SC41,SC60,431,431,100.0
SC39,SC60,119,119,100.0
SC3,SC35,207,207,100.0
SC9,SC31,179,363,49.311294765840216
SC53,SC31,223,422,52.843601895734594
SC34,SC31,237,451,52.54988913525499
SC9,SC53,184,363,50.688705234159784
SC31,SC53,220,220,100.0
SC53,SC9,199,422,47.1563981042654
SC34,SC9,214,451,47.45011086474501
SC35,SC3,260,260,100.0
