始发分拣中心,到达分拣中心,关联度百分比
SC22,SC8,1.5597828950835222
SC18,SC8,1.12241134004321
SC7,SC8,1.2646888338515043
SC15,SC8,0.9063603309269116
SC52,SC8,0.37940665015545133
SC2,SC8,0.5480318280023185
SC28,SC8,0.2845549876165885
SC19,SC8,1.3542709595826528
SC44,SC8,0.7324656162723296
SC23,SC8,0.542762291194604
SC30,SC8,0.39521526057859513
SC36,SC8,0.5111450703483165
SC4,SC8,0.7746219107340465
SC24,SC8,1.0802550455814934
SC22,SC15,0.3530589661168783
SC7,SC15,0.9274384781577698
SC19,SC15,1.770564367392106
SC8,SC15,0.20024239869315488
SC44,SC15,0.08431258892343363
SC63,SC15,1.2910365178900773
SC4,SC15,0.07904305211571902
SC51,SC15,0.06323444169257522
SC22,SC47,1.7916425146229646
SC18,SC47,1.2330716130052168
SC7,SC47,1.111872266427781
SC55,SC47,0.4426410918480265
SC15,SC47,1.2646888338515043
SC52,SC47,0.3267112820783053
SC2,SC47,0.5480318280023185
SC28,SC47,0.3688675765400221
SC19,SC47,1.8496074195078254
SC8,SC47,1.069715971966064
SC43,SC47,0.9485166253886284
SC44,SC47,0.7693523739263319
SC23,SC47,0.7061179322337566
SC30,SC47,0.35832850292459295
SC36,SC47,0.700848395426042
SC4,SC47,0.7904305211571903
SC24,SC47,1.1013331928123518
SC48,SC47,0.2265900827317279
SC22,SC7,1.0749855087737787
SC18,SC7,1.1698371713126416
SC55,SC7,0.674500711387469
SC15,SC7,0.8800126468883386
SC52,SC7,0.4162934078094535
SC2,SC7,0.5216841439637455
SC28,SC7,0.15808610423143804
SC19,SC7,1.1856457817357855
SC8,SC7,0.9010907941191968
SC44,SC7,0.7482742266954735
SC23,SC7,0.3267112820783053
SC30,SC7,0.44791062865574116
SC4,SC7,0.7324656162723296
SC24,SC7,1.2330716130052168
SC48,SC7,0.18443378827001106
SC22,SC5,0.6428834905411814
SC18,SC5,0.9906729198503451
SC7,SC5,0.6165358065026084
SC52,SC5,0.36359803973230753
SC2,SC5,0.5058755335406018
SC28,SC5,0.11592980976972123
SC19,SC5,0.9116298677346261
SC8,SC5,0.7693523739263319
SC44,SC5,0.7640828371186172
SC23,SC5,0.21605100911629868
SC30,SC5,0.3372503556937345
SC24,SC5,0.7271960794646151
SC22,SC4,0.25820730357801547
SC18,SC4,0.2529377667703009
SC7,SC4,0.4057543341940244
SC52,SC4,0.33198081888601993
SC2,SC4,0.4268324814248828
SC28,SC4,0.042156294461716814
SC19,SC4,0.7219265426569005
SC8,SC4,0.5058755335406018
SC23,SC4,0.08431258892343363
SC30,SC4,0.24766822996258628
SC18,SC51,0.07377351530800443
SC7,SC51,0.2898245244243031
SC52,SC51,0.25820730357801547
SC2,SC51,0.2634768403857301
SC19,SC51,0.35832850292459295
SC30,SC51,0.18970332507772567
SC18,SC2,0.7851609843494758
SC36,SC2,0.49533645992517256
SC38,SC6,1.375349106813511
SC32,SC6,0.4637192390788849
SC21,SC6,0.6481530273488961
SC12,SC6,2.950940612320177
SC27,SC25,0.6059967328871793
SC16,SC25,0.40048479738630977
SC29,SC25,0.6797702481951836
SC56,SC25,0.9274384781577698
SC37,SC25,1.0907941191969226
SC54,SC25,0.9590556990040575
SC58,SC25,1.0328292143120619
SC1,SC25,1.338462349159509
SC27,SC1,0.9168994045423408
SC16,SC1,0.43210201823259736
SC29,SC1,1.7652948305843918
SC56,SC1,1.085524582389208
SC54,SC1,0.8694735732729093
SC58,SC1,0.19497286188544027
SC25,SC1,0.2634768403857301
SC55,SC44,0.569109975233177
SC5,SC44,0.16862517784686726
SC43,SC44,1.0275596775043474
SC24,SC44,1.096063656004637
SC48,SC44,0.23185961953944245
SC66,SC44,1.4807398429678031
SC2,SC19,1.8759551035463982
SC60,SC57,1.349001422774938
SC68,SC57,0.15808610423143804
SC32,SC57,0.31090267165516156
SC21,SC57,0.40048479738630977
SC10,SC57,0.9643252358117721
SC68,SC10,0.4110238710017389
SC32,SC10,0.44791062865574116
SC21,SC10,0.4110238710017389
SC61,SC10,1.2014543921589291
SC26,SC10,0.6481530273488961
SC32,SC60,0.18970332507772567
SC21,SC60,0.5849185856563208
SC41,SC60,2.2711703641249934
SC39,SC60,0.6270748801180376
SC3,SC35,1.0907941191969226
SC9,SC31,0.9432470885809138
SC53,SC31,1.1751067081203561
SC34,SC31,1.2488802234283607
SC9,SC53,0.9695947726194868
SC31,SC53,1.1592980976972125
SC53,SC9,1.0486378247352057
SC34,SC9,1.1276808768509248
SC35,SC3,1.3700795700057964
