SC_ID,date,value
SC43,2023/10/21,2700
SC43,2023/10/4,3062
SC43,2023/11/11,19520
SC43,2023/8/16,2962
SC43,2023/9/14,2835
SC43,2023/10/11,3264
SC43,2023/9/19,2918
SC43,2023/11/20,3098
SC43,2023/8/7,2738
SC43,2023/9/30,3182
SC43,2023/8/22,3709
SC43,2023/10/13,2889
SC43,2023/9/24,3529
SC43,2023/10/17,2860
SC43,2023/9/7,6649
SC43,2023/9/13,2867
SC43,2023/11/15,3150
SC43,2023/9/12,3000
SC43,2023/10/25,4355
SC43,2023/9/4,3338
SC43,2023/10/22,2693
SC43,2023/10/16,2955
SC43,2023/9/20,2898
SC43,2023/10/23,2723
SC43,2023/10/24,4127
SC43,2023/9/17,2871
SC43,2023/10/14,2696
SC43,2023/11/14,3692
SC43,2023/11/30,2975
SC43,2023/11/26,2832
SC43,2023/11/17,3113
SC43,2023/10/9,2727
SC43,2023/8/3,3131
SC43,2023/8/26,3233
SC43,2023/9/2,3314
SC43,2023/10/2,2868
SC43,2023/8/31,3114
SC43,2023/11/10,4016
SC43,2023/9/9,4025
SC43,2023/11/3,6312
SC43,2023/10/12,3194
SC43,2023/9/22,3123
SC43,2023/9/5,3195
SC43,2023/8/13,3253
SC43,2023/9/28,3577
SC43,2023/8/20,3531
SC43,2023/11/28,3014
SC43,2023/10/7,3757
SC43,2023/10/19,2661
SC43,2023/8/17,2843
SC43,2023/11/12,13808
SC43,2023/9/1,3287
SC43,2023/11/29,2676
SC43,2023/8/1,3875
SC43,2023/11/4,6853
SC43,2023/8/15,2922
SC43,2023/9/26,3221
SC43,2023/10/8,3004
SC43,2023/8/9,4961
SC43,2023/10/26,3590
SC43,2023/9/15,2805
SC43,2023/11/8,4674
SC43,2023/11/9,4101
SC43,2023/11/24,2728
SC43,2023/10/29,3007
SC43,2023/11/27,2990
SC43,2023/8/27,3277
SC43,2023/9/10,3872
SC43,2023/11/5,4943
SC43,2023/9/8,4011
SC43,2023/11/25,2928
SC43,2023/9/27,2894
SC43,2023/9/23,3036
SC43,2023/9/6,3026
SC43,2023/10/10,3540
SC43,2023/9/16,2794
SC43,2023/9/25,3275
SC43,2023/11/18,3125
SC43,2023/10/5,3276
SC43,2023/11/6,4707
SC43,2023/8/14,3091
SC43,2023/11/13,5728
SC43,2023/10/28,3180
SC43,2023/10/15,2895
SC43,2023/10/1,2950
SC43,2023/8/21,4183
SC43,2023/8/8,2481
SC43,2023/8/18,4243
SC43,2023/8/23,3381
SC43,2023/9/29,3026
SC43,2023/8/30,3320
SC43,2023/10/18,2713
SC43,2023/8/10,4898
SC43,2023/8/29,3479
SC43,2023/11/7,4748
SC43,2023/9/21,3619
SC43,2023/9/18,2973
SC43,2023/11/22,3525
SC43,2023/8/4,2848
SC43,2023/10/6,3595
SC43,2023/11/23,2657
SC43,2023/10/3,2935
SC43,2023/11/21,2828
SC43,2023/9/3,3373
SC43,2023/8/25,3382
SC43,2023/9/11,3049
SC43,2023/8/2,3826
SC43,2023/11/1,27478
SC43,2023/8/24,3263
SC43,2023/8/6,2754
SC43,2023/10/27,3680
SC43,2023/8/12,4124
SC43,2023/10/30,3048
SC43,2023/8/28,3488
SC43,2023/11/16,3115
SC43,2023/11/19,3160
SC43,2023/11/2,10008
SC43,2023/8/19,3565
SC43,2023/10/31,3870
SC43,2023/8/11,4323
SC43,2023/8/5,2735
SC43,2023/10/20,3026
