SC_ID,date,hour,value
SC53,2023/11/2,5,1309
SC53,2023/11/2,15,953
SC53,2023/11/24,19,3155
SC53,2023/11/28,20,3521
SC53,2023/11/4,20,3087
SC53,2023/11/27,11,0
SC53,2023/11/29,6,445
SC53,2023/11/12,21,4353
SC53,2023/11/6,14,2034
SC53,2023/11/23,21,4251
SC53,2023/11/26,1,777
SC53,2023/11/19,20,3864
SC53,2023/11/4,17,1602
SC53,2023/11/7,12,13
SC53,2023/11/2,7,384
SC53,2023/11/7,21,4126
SC53,2023/11/4,10,2
SC53,2023/11/23,12,6
SC53,2023/11/13,18,2068
SC53,2023/11/2,0,3526
SC53,2023/11/21,11,0
SC53,2023/11/21,19,2858
SC53,2023/11/16,10,0
SC53,2023/11/29,7,57
SC53,2023/11/30,10,0
SC53,2023/11/7,17,1794
SC53,2023/11/17,11,0
SC53,2023/11/21,4,269
SC53,2023/11/15,18,2124
SC53,2023/11/18,10,0
SC53,2023/11/9,2,948
SC53,2023/11/26,17,933
SC53,2023/11/6,10,0
SC53,2023/11/29,1,695
SC53,2023/11/2,1,2688
SC53,2023/11/18,17,1096
SC53,2023/11/9,20,4224
SC53,2023/11/27,9,17
SC53,2023/11/22,7,384
SC53,2023/11/16,0,1606
SC53,2023/11/22,1,649
SC53,2023/11/28,22,4446
SC53,2023/11/13,11,0
SC53,2023/11/1,10,0
SC53,2023/11/14,22,4255
SC53,2023/11/29,15,1854
SC53,2023/11/22,22,4165
SC53,2023/11/13,4,1069
SC53,2023/11/21,3,535
SC53,2023/11/30,7,274
SC53,2023/11/24,21,4019
SC53,2023/11/19,14,2367
SC53,2023/11/21,23,4147
SC53,2023/11/26,10,0
SC53,2023/11/23,17,1191
SC53,2023/11/26,18,1880
SC53,2023/11/13,5,959
SC53,2023/11/28,0,1376
SC53,2023/11/28,6,478
SC53,2023/11/3,15,2433
SC53,2023/11/2,14,1747
SC53,2023/11/7,7,9
SC53,2023/11/2,23,4005
SC53,2023/11/12,15,2840
SC53,2023/11/19,4,201
SC53,2023/11/4,2,964
SC53,2023/11/30,20,3962
SC53,2023/11/28,2,795
SC53,2023/11/11,5,562
SC53,2023/11/6,8,0
SC53,2023/11/2,4,888
SC53,2023/11/12,5,1381
SC53,2023/11/19,23,2933
SC53,2023/11/10,3,269
SC53,2023/11/15,14,2216
SC53,2023/11/12,1,1260
SC53,2023/11/27,15,1963
SC53,2023/11/6,9,30
SC53,2023/11/1,11,0
SC53,2023/11/8,1,683
SC53,2023/11/16,17,1809
SC53,2023/11/29,0,1131
SC53,2023/11/9,16,2195
SC53,2023/11/12,23,4635
SC53,2023/11/1,8,19
SC53,2023/11/5,1,641
SC53,2023/11/21,10,0
SC53,2023/11/15,23,4003
SC53,2023/11/28,7,22
SC53,2023/11/4,0,411
SC53,2023/11/16,3,655
SC53,2023/11/19,12,20
SC53,2023/11/25,12,17
SC53,2023/11/23,20,4345
SC53,2023/11/26,12,29
SC53,2023/11/10,14,2320
SC53,2023/11/26,8,1
SC53,2023/11/3,18,1731
SC53,2023/11/28,17,1332
SC53,2023/11/17,9,24
SC53,2023/11/10,10,0
SC53,2023/11/19,10,0
SC53,2023/11/15,3,709
SC53,2023/11/5,14,2210
SC53,2023/11/8,23,4212
SC53,2023/11/9,1,312
SC53,2023/11/23,18,1924
SC53,2023/11/24,8,1
SC53,2023/11/19,17,1005
SC53,2023/11/7,22,4092
SC53,2023/11/30,6,202
SC53,2023/11/4,6,572
SC53,2023/11/10,19,4100
SC53,2023/11/18,9,21
SC53,2023/11/23,22,4810
SC53,2023/11/29,4,278
SC53,2023/11/1,17,572
SC53,2023/11/27,19,1857
SC53,2023/11/22,8,97
SC53,2023/11/16,22,4520
SC53,2023/11/9,21,4119
SC53,2023/11/14,1,1108
SC53,2023/11/8,18,1863
SC53,2023/11/15,4,655
SC53,2023/11/11,16,1929
SC53,2023/11/3,16,2022
SC53,2023/11/23,10,0
SC53,2023/11/30,0,1052
SC53,2023/11/18,18,1657
SC53,2023/11/5,9,23
SC53,2023/11/2,22,4199
SC53,2023/11/12,8,14
SC53,2023/11/15,6,936
SC53,2023/11/18,1,482
SC53,2023/11/20,8,1
SC53,2023/11/16,7,25
SC53,2023/11/2,6,275
SC53,2023/11/9,12,20
SC53,2023/11/1,21,3867
SC53,2023/11/30,22,4269
SC53,2023/11/15,13,1579
SC53,2023/11/15,21,4012
SC53,2023/11/25,16,1111
SC53,2023/11/24,12,33
SC53,2023/11/21,17,1411
SC53,2023/11/8,9,27
SC53,2023/11/24,18,1501
SC53,2023/11/3,8,9
SC53,2023/11/19,22,4040
SC53,2023/11/1,18,2450
SC53,2023/11/3,5,850
SC53,2023/11/27,5,363
SC53,2023/11/10,17,1869
SC53,2023/11/18,8,524
SC53,2023/11/27,6,0
SC53,2023/11/15,2,1215
SC53,2023/11/17,19,3052
SC53,2023/11/20,16,1756
SC53,2023/11/23,2,732
SC53,2023/11/5,5,487
SC53,2023/11/26,21,3611
SC53,2023/11/7,1,212
SC53,2023/11/19,21,3557
SC53,2023/11/23,9,22
SC53,2023/11/21,1,805
SC53,2023/11/19,5,776
SC53,2023/11/24,23,3455
SC53,2023/11/1,13,21
SC53,2023/11/19,7,55
SC53,2023/11/4,11,0
SC53,2023/11/13,14,2451
SC53,2023/11/25,21,3736
SC53,2023/11/7,0,941
SC53,2023/11/26,15,1648
SC53,2023/11/15,9,52
SC53,2023/11/3,22,3635
SC53,2023/11/30,9,27
SC53,2023/11/24,16,1187
SC53,2023/11/29,22,4635
SC53,2023/11/8,8,8
SC53,2023/11/28,10,0
SC53,2023/11/20,1,638
SC53,2023/11/10,0,795
SC53,2023/11/4,22,4049
SC53,2023/11/30,15,1582
SC53,2023/11/12,13,1787
SC53,2023/11/29,11,0
SC53,2023/11/8,4,233
SC53,2023/11/28,15,1287
SC53,2023/11/4,5,1120
SC53,2023/11/11,22,4173
SC53,2023/11/6,7,403
SC53,2023/11/30,5,352
SC53,2023/11/8,13,1623
SC53,2023/11/13,9,42
SC53,2023/11/28,5,701
SC53,2023/11/6,22,4192
SC53,2023/11/29,19,2866
SC53,2023/11/2,19,3703
SC53,2023/11/5,7,580
SC53,2023/11/24,4,179
SC53,2023/11/2,16,1612
SC53,2023/11/12,4,1250
SC53,2023/11/13,0,4171
SC53,2023/11/19,18,1915
SC53,2023/11/18,11,0
SC53,2023/11/30,17,1542
SC53,2023/11/19,2,1281
SC53,2023/11/1,16,534
SC53,2023/11/25,22,4375
SC53,2023/11/15,16,2383
SC53,2023/11/4,7,87
SC53,2023/11/23,19,3298
SC53,2023/11/22,9,30
SC53,2023/11/21,13,1820
SC53,2023/11/11,20,3780
SC53,2023/11/1,14,1935
SC53,2023/11/6,21,3724
SC53,2023/11/12,22,3998
SC53,2023/11/17,2,792
SC53,2023/11/25,7,0
SC53,2023/11/26,3,551
SC53,2023/11/10,22,4494
SC53,2023/11/11,7,711
SC53,2023/11/12,18,2270
SC53,2023/11/1,12,0
SC53,2023/11/17,10,0
SC53,2023/11/17,17,1687
SC53,2023/11/18,3,591
SC53,2023/11/28,9,29
SC53,2023/11/27,7,0
SC53,2023/11/22,16,953
SC53,2023/11/25,5,1005
SC53,2023/11/30,2,797
SC53,2023/11/19,13,1748
SC53,2023/11/4,9,27
SC53,2023/11/9,19,3438
SC53,2023/11/5,6,842
SC53,2023/11/26,9,21
SC53,2023/11/16,11,0
SC53,2023/11/16,19,3511
SC53,2023/11/28,21,3866
SC53,2023/11/23,15,1838
SC53,2023/11/29,3,438
