分拣中心,日期,货量
分拣中心_SC1,2023/08/01,39319.02
分拣中心_SC1,2023/08/02,39481.05
分拣中心_SC1,2023/08/03,38588.6
分拣中心_SC1,2023/08/04,36156.33
分拣中心_SC1,2023/08/05,32980.01
分拣中心_SC1,2023/08/06,31501.24
分拣中心_SC1,2023/08/07,30544.15
分拣中心_SC1,2023/08/08,32335.31
分拣中心_SC1,2023/08/09,33787.17
分拣中心_SC1,2023/08/10,34022.51
分拣中心_SC1,2023/08/11,33755.1
分拣中心_SC1,2023/08/12,33563.3
分拣中心_SC1,2023/08/13,32188.68
分拣中心_SC1,2023/08/14,31970.74
分拣中心_SC1,2023/08/15,33838.83
分拣中心_SC1,2023/08/16,35356.28
分拣中心_SC1,2023/08/17,35921.14
分拣中心_SC1,2023/08/18,36109.47
分拣中心_SC1,2023/08/19,37023.64
分拣中心_SC1,2023/08/20,35364.14
分拣中心_SC1,2023/08/21,35740.22
分拣中心_SC1,2023/08/22,36271.85
分拣中心_SC1,2023/08/23,36819.98
分拣中心_SC1,2023/08/24,37728.97
分拣中心_SC1,2023/08/25,38525.38
分拣中心_SC1,2023/08/26,37445.33
分拣中心_SC1,2023/08/27,36894.51
分拣中心_SC1,2023/08/28,36497.83
分拣中心_SC1,2023/08/29,38259.66
分拣中心_SC1,2023/08/30,39822.37
分拣中心_SC1,2023/08/31,40912.04
分拣中心_SC10,2023/08/01,19939.21
分拣中心_SC10,2023/08/02,20300.21
分拣中心_SC10,2023/08/03,20609.27
分拣中心_SC10,2023/08/04,20447.37
分拣中心_SC10,2023/08/05,20750.95
分拣中心_SC10,2023/08/06,19997.15
分拣中心_SC10,2023/08/07,19528.63
分拣中心_SC10,2023/08/08,19807.59
分拣中心_SC10,2023/08/09,20627.32
分拣中心_SC10,2023/08/10,20809.9
分拣中心_SC10,2023/08/11,20804.91
分拣中心_SC10,2023/08/12,20540.39
分拣中心_SC10,2023/08/13,19590.71
分拣中心_SC10,2023/08/14,19357.0
分拣中心_SC10,2023/08/15,20434.34
分拣中心_SC10,2023/08/16,22024.41
分拣中心_SC10,2023/08/17,22286.93
分拣中心_SC10,2023/08/18,23275.94
分拣中心_SC10,2023/08/19,23631.68
分拣中心_SC10,2023/08/20,22429.8
分拣中心_SC10,2023/08/21,21931.76
分拣中心_SC10,2023/08/22,22432.12
分拣中心_SC10,2023/08/23,22261.96
分拣中心_SC10,2023/08/24,22209.15
分拣中心_SC10,2023/08/25,22809.45
分拣中心_SC10,2023/08/26,22828.58
分拣中心_SC10,2023/08/27,23239.34
分拣中心_SC10,2023/08/28,22876.58
分拣中心_SC10,2023/08/29,23837.46
分拣中心_SC10,2023/08/30,24317.91
分拣中心_SC10,2023/08/31,25115.5
分拣中心_SC12,2023/08/01,3501.86
分拣中心_SC12,2023/08/02,3596.21
分拣中心_SC12,2023/08/03,3677.82
分拣中心_SC12,2023/08/04,3602.4
分拣中心_SC12,2023/08/05,3433.49
分拣中心_SC12,2023/08/06,3383.5
分拣中心_SC12,2023/08/07,3483.34
分拣中心_SC12,2023/08/08,3739.72
分拣中心_SC12,2023/08/09,4017.26
分拣中心_SC12,2023/08/10,3794.43
分拣中心_SC12,2023/08/11,3673.26
分拣中心_SC12,2023/08/12,3448.0
分拣中心_SC12,2023/08/13,3294.9
分拣中心_SC12,2023/08/14,3610.0
分拣中心_SC12,2023/08/15,3441.92
分拣中心_SC12,2023/08/16,4293.84
分拣中心_SC12,2023/08/17,4049.1
分拣中心_SC12,2023/08/18,3891.32
分拣中心_SC12,2023/08/19,3889.67
分拣中心_SC12,2023/08/20,3871.11
分拣中心_SC12,2023/08/21,4038.92
分拣中心_SC12,2023/08/22,4016.03
分拣中心_SC12,2023/08/23,3995.96
分拣中心_SC12,2023/08/24,4077.83
分拣中心_SC12,2023/08/25,4372.09
分拣中心_SC12,2023/08/26,4398.57
分拣中心_SC12,2023/08/27,4187.09
分拣中心_SC12,2023/08/28,4265.89
分拣中心_SC12,2023/08/29,4033.57
分拣中心_SC12,2023/08/30,3974.67
分拣中心_SC12,2023/08/31,4031.04
分拣中心_SC14,2023/08/01,2819.99
分拣中心_SC14,2023/08/02,2481.86
分拣中心_SC14,2023/08/03,2197.32
分拣中心_SC14,2023/08/04,1912.85
分拣中心_SC14,2023/08/05,1622.16
分拣中心_SC14,2023/08/06,1440.69
分拣中心_SC14,2023/08/07,1637.32
分拣中心_SC14,2023/08/08,1591.95
分拣中心_SC14,2023/08/09,1624.06
分拣中心_SC14,2023/08/10,1681.51
分拣中心_SC14,2023/08/11,1602.83
分拣中心_SC14,2023/08/12,1462.97
分拣中心_SC14,2023/08/13,1517.23
分拣中心_SC14,2023/08/14,1562.65
分拣中心_SC14,2023/08/15,1577.95
分拣中心_SC14,2023/08/16,1631.13
分拣中心_SC14,2023/08/17,1597.51
分拣中心_SC14,2023/08/18,1480.88
分拣中心_SC14,2023/08/19,1394.79
