分拣中心,日期,货量
SC1,2023/12/01,45171.02
SC1,2023/12/02,45073.51
SC1,2023/12/03,43728.75
SC1,2023/12/04,42247.68
SC1,2023/12/05,44846.95
SC1,2023/12/06,45350.78
SC1,2023/12/07,45437.16
SC1,2023/12/08,45171.02
SC1,2023/12/09,45073.51
SC1,2023/12/10,43728.75
SC1,2023/12/11,42247.68
SC1,2023/12/12,44846.95
SC1,2023/12/13,45350.78
SC1,2023/12/14,45437.16
SC1,2023/12/15,45171.02
SC1,2023/12/16,45073.51
SC1,2023/12/17,43728.75
SC1,2023/12/18,42247.68
SC1,2023/12/19,44846.95
SC1,2023/12/20,45350.78
SC1,2023/12/21,45437.16
SC1,2023/12/22,45171.02
SC1,2023/12/23,45073.51
SC1,2023/12/24,43728.75
SC1,2023/12/25,42247.68
SC1,2023/12/26,44846.95
SC1,2023/12/27,45350.78
SC1,2023/12/28,45437.16
SC1,2023/12/29,45171.02
SC1,2023/12/30,45073.51
SC1,2023/12/31,43728.75
SC10,2023/12/01,39718.82
SC10,2023/12/02,39678.4
SC10,2023/12/03,40140.83
SC10,2023/12/04,39659.31
SC10,2023/12/05,39095.74
SC10,2023/12/06,39684.24
SC10,2023/12/07,39566.46
SC10,2023/12/08,39718.82
SC10,2023/12/09,39678.4
SC10,2023/12/10,40140.83
SC10,2023/12/11,39659.31
SC10,2023/12/12,39095.74
SC10,2023/12/13,39684.24
SC10,2023/12/14,39566.46
SC10,2023/12/15,39718.82
SC10,2023/12/16,39678.4
SC10,2023/12/17,40140.83
SC10,2023/12/18,39659.31
SC10,2023/12/19,39095.74
SC10,2023/12/20,39684.24
SC10,2023/12/21,39566.46
SC10,2023/12/22,39718.82
SC10,2023/12/23,39678.4
SC10,2023/12/24,40140.83
SC10,2023/12/25,39659.31
SC10,2023/12/26,39095.74
SC10,2023/12/27,39684.24
SC10,2023/12/28,39566.46
SC10,2023/12/29,39718.82
SC10,2023/12/30,39678.4
SC10,2023/12/31,40140.83
SC12,2023/12/01,4149.57
SC12,2023/12/02,4169.06
SC12,2023/12/03,4091.45
SC12,2023/12/04,4223.83
SC12,2023/12/05,4200.68
SC12,2023/12/06,4186.55
SC12,2023/12/07,4157.02
SC12,2023/12/08,4149.57
