分拣中心,日期,班次,正式工,临时工
分拣中心_SC4,2023-12-01,00:00-08:00,0.0,473.0
分拣中心_SC4,2023-12-01,05:00-13:00,60.0,29.0
分拣中心_SC4,2023-12-01,08:00-16:00,0.0,69.0
分拣中心_SC4,2023-12-01,12:00-20:00,0.0,142.0
分拣中心_SC4,2023-12-01,14:00-22:00,0.0,187.0
分拣中心_SC4,2023-12-01,16:00-24:00,0.0,268.0
分拣中心_SC4,2023-12-02,00:00-08:00,0.0,542.0
分拣中心_SC4,2023-12-02,05:00-13:00,0.0,140.0
分拣中心_SC4,2023-12-02,08:00-16:00,0.0,116.0
分拣中心_SC4,2023-12-02,12:00-20:00,0.0,189.0
分拣中心_SC4,2023-12-02,14:00-22:00,60.0,155.0
分拣中心_SC4,2023-12-02,16:00-24:00,0.0,256.0
分拣中心_SC4,2023-12-03,00:00-08:00,0.0,528.0
分拣中心_SC4,2023-12-03,05:00-13:00,0.0,132.0
分拣中心_SC4,2023-12-03,08:00-16:00,0.0,98.0
分拣中心_SC4,2023-12-03,12:00-20:00,0.0,176.0
分拣中心_SC4,2023-12-03,14:00-22:00,0.0,219.0
分拣中心_SC4,2023-12-03,16:00-24:00,60.0,163.0
分拣中心_SC4,2023-12-04,00:00-08:00,0.0,479.0
分拣中心_SC4,2023-12-04,05:00-13:00,60.0,10.0
分拣中心_SC4,2023-12-04,08:00-16:00,0.0,90.0
分拣中心_SC4,2023-12-04,12:00-20:00,0.0,155.0
分拣中心_SC4,2023-12-04,14:00-22:00,0.0,179.0
分拣中心_SC4,2023-12-04,16:00-24:00,0.0,305.0
分拣中心_SC4,2023-12-05,00:00-08:00,0.0,440.0
分拣中心_SC4,2023-12-05,05:00-13:00,0.0,92.0
分拣中心_SC4,2023-12-05,08:00-16:00,0.0,65.0
分拣中心_SC4,2023-12-05,12:00-20:00,0.0,150.0
分拣中心_SC4,2023-12-05,14:00-22:00,0.0,178.0
分拣中心_SC4,2023-12-05,16:00-24:00,60.0,210.0
分拣中心_SC4,2023-12-06,00:00-08:00,0.0,501.0
分拣中心_SC4,2023-12-06,05:00-13:00,0.0,113.0
分拣中心_SC4,2023-12-06,08:00-16:00,0.0,88.0
分拣中心_SC4,2023-12-06,12:00-20:00,0.0,179.0
分拣中心_SC4,2023-12-06,14:00-22:00,0.0,214.0
分拣中心_SC4,2023-12-06,16:00-24:00,60.0,241.0
分拣中心_SC4,2023-12-07,00:00-08:00,0.0,423.0
分拣中心_SC4,2023-12-07,05:00-13:00,0.0,142.0
分拣中心_SC4,2023-12-07,08:00-16:00,0.0,80.0
分拣中心_SC4,2023-12-07,12:00-20:00,0.0,143.0
分拣中心_SC4,2023-12-07,14:00-22:00,0.0,192.0
分拣中心_SC4,2023-12-07,16:00-24:00,60.0,211.0
分拣中心_SC4,2023-12-08,00:00-08:00,0.0,473.0
分拣中心_SC4,2023-12-08,05:00-13:00,0.0,104.0
分拣中心_SC4,2023-12-08,08:00-16:00,0.0,69.0
分拣中心_SC4,2023-12-08,12:00-20:00,0.0,142.0
分拣中心_SC4,2023-12-08,14:00-22:00,0.0,187.0
分拣中心_SC4,2023-12-08,16:00-24:00,60.0,193.0
分拣中心_SC4,2023-12-09,00:00-08:00,0.0,542.0
分拣中心_SC4,2023-12-09,05:00-13:00,0.0,140.0
分拣中心_SC4,2023-12-09,08:00-16:00,0.0,116.0
分拣中心_SC4,2023-12-09,12:00-20:00,0.0,189.0
分拣中心_SC4,2023-12-09,14:00-22:00,0.0,230.0
分拣中心_SC4,2023-12-09,16:00-24:00,60.0,181.0
分拣中心_SC4,2023-12-10,00:00-08:00,60.0,453.0
分拣中心_SC4,2023-12-10,05:00-13:00,0.0,132.0
分拣中心_SC4,2023-12-10,08:00-16:00,0.0,98.0
分拣中心_SC4,2023-12-10,12:00-20:00,0.0,176.0
分拣中心_SC4,2023-12-10,14:00-22:00,0.0,219.0
分拣中心_SC4,2023-12-10,16:00-24:00,0.0,238.0
分拣中心_SC4,2023-12-11,00:00-08:00,0.0,479.0
分拣中心_SC4,2023-12-11,05:00-13:00,0.0,85.0
分拣中心_SC4,2023-12-11,08:00-16:00,0.0,90.0
分拣中心_SC4,2023-12-11,12:00-20:00,0.0,155.0
分拣中心_SC4,2023-12-11,14:00-22:00,60.0,104.0
分拣中心_SC4,2023-12-11,16:00-24:00,0.0,305.0
