分拣中心,日期,班次,正式工人数,临时工人数
分拣中心_SC18,2023-12-01,00:00-08:00,0.0,105
分拣中心_SC18,2023-12-01,05:00-13:00,60.0,6
分拣中心_SC18,2023-12-01,08:00-16:00,0.0,41
分拣中心_SC18,2023-12-01,12:00-20:00,0.0,114
分拣中心_SC18,2023-12-01,14:00-22:00,0.0,51
分拣中心_SC18,2023-12-01,16:00-24:00,0.0,85
分拣中心_SC18,2023-12-02,00:00-08:00,0.0,228
分拣中心_SC18,2023-12-02,05:00-13:00,0.0,117
分拣中心_SC18,2023-12-02,08:00-16:00,0.0,78
分拣中心_SC18,2023-12-02,12:00-20:00,0.0,113
分拣中心_SC18,2023-12-02,14:00-22:00,39.0,0
分拣中心_SC18,2023-12-02,16:00-24:00,21.0,53
分拣中心_SC18,2023-12-03,00:00-08:00,0.0,177
分拣中心_SC18,2023-12-03,05:00-13:00,5.0,102
分拣中心_SC18,2023-12-03,08:00-16:00,0.0,55
分拣中心_SC18,2023-12-03,12:00-20:00,0.0,108
分拣中心_SC18,2023-12-03,14:00-22:00,0.0,34
分拣中心_SC18,2023-12-03,16:00-24:00,55.0,0
分拣中心_SC18,2023-12-04,00:00-08:00,0.0,85
分拣中心_SC18,2023-12-04,05:00-13:00,53.0,0
分拣中心_SC18,2023-12-04,08:00-16:00,7.0,23
分拣中心_SC18,2023-12-04,12:00-20:00,0.0,94
分拣中心_SC18,2023-12-04,14:00-22:00,0.0,35
分拣中心_SC18,2023-12-04,16:00-24:00,0.0,74
分拣中心_SC18,2023-12-05,00:00-08:00,0.0,39
分拣中心_SC18,2023-12-05,05:00-13:00,7.0,69
分拣中心_SC18,2023-12-05,08:00-16:00,0.0,40
分拣中心_SC18,2023-12-05,12:00-20:00,0.0,94
分拣中心_SC18,2023-12-05,14:00-22:00,0.0,32
分拣中心_SC18,2023-12-05,16:00-24:00,53.0,0
分拣中心_SC18,2023-12-06,00:00-08:00,0.0,248
分拣中心_SC18,2023-12-06,05:00-13:00,1.0,108
分拣中心_SC18,2023-12-06,08:00-16:00,0.0,55
分拣中心_SC18,2023-12-06,12:00-20:00,0.0,112
分拣中心_SC18,2023-12-06,14:00-22:00,0.0,40
分拣中心_SC18,2023-12-06,16:00-24:00,59.0,0
分拣中心_SC18,2023-12-07,00:00-08:00,0.0,176
分拣中心_SC18,2023-12-07,05:00-13:00,0.0,81
分拣中心_SC18,2023-12-07,08:00-16:00,0.0,46
分拣中心_SC18,2023-12-07,12:00-20:00,0.0,108
分拣中心_SC18,2023-12-07,14:00-22:00,0.0,40
分拣中心_SC18,2023-12-07,16:00-24:00,60.0,0
分拣中心_SC18,2023-12-08,00:00-08:00,0.0,105
分拣中心_SC18,2023-12-08,05:00-13:00,0.0,81
分拣中心_SC18,2023-12-08,08:00-16:00,0.0,41
分拣中心_SC18,2023-12-08,12:00-20:00,0.0,114
分拣中心_SC18,2023-12-08,14:00-22:00,0.0,51
分拣中心_SC18,2023-12-08,16:00-24:00,60.0,10
分拣中心_SC18,2023-12-09,00:00-08:00,0.0,228
分拣中心_SC18,2023-12-09,05:00-13:00,0.0,117
分拣中心_SC18,2023-12-09,08:00-16:00,0.0,78
分拣中心_SC18,2023-12-09,12:00-20:00,0.0,113
分拣中心_SC18,2023-12-09,14:00-22:00,0.0,49
分拣中心_SC18,2023-12-09,16:00-24:00,60.0,4
分拣中心_SC18,2023-12-10,00:00-08:00,60.0,102
分拣中心_SC18,2023-12-10,05:00-13:00,0.0,108
分拣中心_SC18,2023-12-10,08:00-16:00,0.0,55
分拣中心_SC18,2023-12-10,12:00-20:00,0.0,108
分拣中心_SC18,2023-12-10,14:00-22:00,0.0,34
分拣中心_SC18,2023-12-10,16:00-24:00,0.0,69
分拣中心_SC18,2023-12-11,00:00-08:00,0.0,85
分拣中心_SC18,2023-12-11,05:00-13:00,6.0,59
分拣中心_SC18,2023-12-11,08:00-16:00,26.0,0
分拣中心_SC18,2023-12-11,12:00-20:00,0.0,94
分拣中心_SC18,2023-12-11,14:00-22:00,28.0,0
分拣中心_SC18,2023-12-11,16:00-24:00,0.0,74
分拣中心_SC18,2023-12-12,00:00-08:00,0.0,39
分拣中心_SC18,2023-12-12,05:00-13:00,0.0,78
分拣中心_SC18,2023-12-12,08:00-16:00,7.0,31
分拣中心_SC18,2023-12-12,12:00-20:00,0.0,94
分拣中心_SC18,2023-12-12,14:00-22:00,0.0,32
分拣中心_SC18,2023-12-12,16:00-24:00,53.0,0
分拣中心_SC18,2023-12-13,00:00-08:00,0.0,248
分拣中心_SC18,2023-12-13,05:00-13:00,60.0,34
分拣中心_SC18,2023-12-13,08:00-16:00,0.0,55
分拣中心_SC18,2023-12-13,12:00-20:00,0.0,112
分拣中心_SC18,2023-12-13,14:00-22:00,0.0,40
分拣中心_SC18,2023-12-13,16:00-24:00,0.0,74
分拣中心_SC18,2023-12-14,00:00-08:00,0.0,176
分拣中心_SC18,2023-12-14,05:00-13:00,0.0,81
分拣中心_SC18,2023-12-14,08:00-16:00,0.0,46
分拣中心_SC18,2023-12-14,12:00-20:00,28.0,73
分拣中心_SC18,2023-12-14,14:00-22:00,32.0,0
分拣中心_SC18,2023-12-14,16:00-24:00,0.0,75
分拣中心_SC18,2023-12-15,00:00-08:00,0.0,105
分拣中心_SC18,2023-12-15,05:00-13:00,0.0,81
分拣中心_SC18,2023-12-15,08:00-16:00,32.0,1
分拣中心_SC18,2023-12-15,12:00-20:00,0.0,114
分拣中心_SC18,2023-12-15,14:00-22:00,0.0,51
分拣中心_SC18,2023-12-15,16:00-24:00,28.0,50
分拣中心_SC18,2023-12-16,00:00-08:00,60.0,153
分拣中心_SC18,2023-12-16,05:00-13:00,0.0,117
分拣中心_SC18,2023-12-16,08:00-16:00,0.0,78
分拣中心_SC18,2023-12-16,12:00-20:00,0.0,113
分拣中心_SC18,2023-12-16,14:00-22:00,0.0,49
分拣中心_SC18,2023-12-16,16:00-24:00,0.0,79
分拣中心_SC18,2023-12-17,00:00-08:00,0.0,177
分拣中心_SC18,2023-12-17,05:00-13:00,0.0,108
分拣中心_SC18,2023-12-17,08:00-16:00,0.0,55
分拣中心_SC18,2023-12-17,12:00-20:00,60.0,33
分拣中心_SC18,2023-12-17,14:00-22:00,0.0,34
分拣中心_SC18,2023-12-17,16:00-24:00,0.0,69
分拣中心_SC18,2023-12-18,00:00-08:00,60.0,10
分拣中心_SC18,2023-12-18,05:00-13:00,0.0,66
分拣中心_SC18,2023-12-18,08:00-16:00,0.0,32
分拣中心_SC18,2023-12-18,12:00-20:00,0.0,94
分拣中心_SC18,2023-12-18,14:00-22:00,0.0,35
分拣中心_SC18,2023-12-18,16:00-24:00,0.0,74
分拣中心_SC18,2023-12-19,00:00-08:00,0.0,39
分拣中心_SC18,2023-12-19,05:00-13:00,0.0,78
分拣中心_SC18,2023-12-19,08:00-16:00,0.0,40
分拣中心_SC18,2023-12-19,12:00-20:00,7.0,85
分拣中心_SC18,2023-12-19,14:00-22:00,0.0,32
分拣中心_SC18,2023-12-19,16:00-24:00,53.0,0
分拣中心_SC18,2023-12-20,00:00-08:00,0.0,248
分拣中心_SC18,2023-12-20,05:00-13:00,0.0,109
分拣中心_SC18,2023-12-20,08:00-16:00,0.0,55
分拣中心_SC18,2023-12-20,12:00-20:00,60.0,37
分拣中心_SC18,2023-12-20,14:00-22:00,0.0,40
分拣中心_SC18,2023-12-20,16:00-24:00,0.0,74
分拣中心_SC18,2023-12-21,00:00-08:00,0.0,176
分拣中心_SC18,2023-12-21,05:00-13:00,0.0,81
分拣中心_SC18,2023-12-21,08:00-16:00,0.0,46
