SC_ID,date,hour,value
SC60,2023/12/1,0,1429.41
SC60,2023/12/1,1,1353.33
SC60,2023/12/1,2,1344.66
SC60,2023/12/1,3,1354.51
SC60,2023/12/1,4,1453.76
SC60,2023/12/1,5,1444.92
SC60,2023/12/1,6,1598.67
SC60,2023/12/1,7,1781.31
SC60,2023/12/1,8,1802.15
SC60,2023/12/1,9,1781.25
SC60,2023/12/1,10,1791.8
SC60,2023/12/1,11,1777.07
SC60,2023/12/1,12,1797.74
SC60,2023/12/1,13,1757.05
SC60,2023/12/1,14,1735.78
SC60,2023/12/1,15,1735.62
SC60,2023/12/1,16,1743.84
SC60,2023/12/1,17,1759.94
SC60,2023/12/1,18,1703.13
SC60,2023/12/1,19,1707.64
SC60,2023/12/1,20,1710.31
SC60,2023/12/1,21,1720.76
SC60,2023/12/1,22,1741.24
SC60,2023/12/1,23,1735.96
SC60,2023/12/2,0,1017.05
SC60,2023/12/2,1,982.56
SC60,2023/12/2,2,907.28
SC60,2023/12/2,3,870.74
SC60,2023/12/2,4,864
SC60,2023/12/2,5,938.22
SC60,2023/12/2,6,979.2
SC60,2023/12/2,7,1262.65
SC60,2023/12/2,8,1163.85
SC60,2023/12/2,9,1144.37
SC60,2023/12/2,10,1185.41
SC60,2023/12/2,11,1208.61
SC60,2023/12/2,12,1201.99
SC60,2023/12/2,13,1178.36
SC60,2023/12/2,14,1177.75
SC60,2023/12/2,15,1188.79
SC60,2023/12/2,16,1196.05
SC60,2023/12/2,17,1191.15
SC60,2023/12/2,18,1190.07
SC60,2023/12/2,19,1204.84
SC60,2023/12/2,20,1290.6
SC60,2023/12/2,21,1303.53
SC60,2023/12/2,22,1335.66
SC60,2023/12/2,23,1335.09
SC60,2023/12/3,0,858.55
SC60,2023/12/3,1,832.91
SC60,2023/12/3,2,777.59
SC60,2023/12/3,3,737.59
SC60,2023/12/3,4,752.08
SC60,2023/12/3,5,759.84
SC60,2023/12/3,6,742.01
SC60,2023/12/3,7,793.52
SC60,2023/12/3,8,782.38
SC60,2023/12/3,9,766.02
SC60,2023/12/3,10,703.3
SC60,2023/12/3,11,698.79
SC60,2023/12/3,12,689.64
SC60,2023/12/3,13,674.59
SC60,2023/12/3,14,683.79
SC60,2023/12/3,15,674.25
SC60,2023/12/3,16,667.81
SC60,2023/12/3,17,654.52
SC60,2023/12/3,18,634.16
SC60,2023/12/3,19,622.06
SC60,2023/12/3,20,607.19
SC60,2023/12/3,21,479.75
SC60,2023/12/3,22,495.02
SC60,2023/12/3,23,693.61
SC60,2023/12/4,0,1268.47
SC60,2023/12/4,1,710.51
SC60,2023/12/4,2,689.4
SC60,2023/12/4,3,684.15
SC60,2023/12/4,4,712.38
SC60,2023/12/4,5,727.08
SC60,2023/12/4,6,729.41
SC60,2023/12/4,7,701.31
SC60,2023/12/4,8,753.39
SC60,2023/12/4,9,738.94
SC60,2023/12/4,10,762.52
SC60,2023/12/4,11,753.77
SC60,2023/12/4,12,738.56
SC60,2023/12/4,13,733.57
SC60,2023/12/4,14,706.65
SC60,2023/12/4,15,681.36
SC60,2023/12/4,16,649.07
SC60,2023/12/4,17,641.93
SC60,2023/12/4,18,628.81
SC60,2023/12/4,19,604.69
SC60,2023/12/4,20,577.21
SC60,2023/12/4,21,466.03
SC60,2023/12/4,22,487.11
SC60,2023/12/4,23,613.49
SC60,2023/12/5,0,601.67
SC60,2023/12/5,1,609.19
SC60,2023/12/5,2,613.62
SC60,2023/12/5,3,610.34
SC60,2023/12/5,4,639.69
SC60,2023/12/5,5,619.63
SC60,2023/12/5,6,610.62
SC60,2023/12/5,7,581.85
SC60,2023/12/5,8,630.67
SC60,2023/12/5,9,632.12
SC60,2023/12/5,10,708.55
SC60,2023/12/5,11,709.86
SC60,2023/12/5,12,705.33
SC60,2023/12/5,13,695.68
SC60,2023/12/5,14,670.5
SC60,2023/12/5,15,646.82
SC60,2023/12/5,16,607.81
SC60,2023/12/5,17,595.54
SC60,2023/12/5,18,586.65
SC60,2023/12/5,19,562.23
SC60,2023/12/5,20,513.13
SC60,2023/12/5,21,429.51
SC60,2023/12/5,22,447.85
SC60,2023/12/5,23,565.77
SC60,2023/12/6,0,613.93
SC60,2023/12/6,1,627.44
SC60,2023/12/6,2,637.66
SC60,2023/12/6,3,643.42
SC60,2023/12/6,4,680.71
SC60,2023/12/6,5,641.49
SC60,2023/12/6,6,631.41
SC60,2023/12/6,7,647.29
SC60,2023/12/6,8,667.39
SC60,2023/12/6,9,667.67
SC60,2023/12/6,10,722.13
SC60,2023/12/6,11,733.9
SC60,2023/12/6,12,727.75
SC60,2023/12/6,13,704.65
SC60,2023/12/6,14,675.62
SC60,2023/12/6,15,650.83
SC60,2023/12/6,16,612.5
SC60,2023/12/6,17,608.26
SC60,2023/12/6,18,597.79
SC60,2023/12/6,19,574.61
SC60,2023/12/6,20,519.58
SC60,2023/12/6,21,443.45
SC60,2023/12/6,22,462.42
SC60,2023/12/6,23,570.59
SC60,2023/12/7,0,630.55
SC60,2023/12/7,1,637.9
SC60,2023/12/7,2,678.12
SC60,2023/12/7,3,690.14
SC60,2023/12/7,4,723.27
SC60,2023/12/7,5,669.47
SC60,2023/12/7,6,658.86
SC60,2023/12/7,7,701.81
SC60,2023/12/7,8,692.61
SC60,2023/12/7,9,692.92
SC60,2023/12/7,10,751.28
SC60,2023/12/7,11,766.84
SC60,2023/12/7,12,750.82
SC60,2023/12/7,13,727.96
SC60,2023/12/7,14,695.72
SC60,2023/12/7,15,676.41
SC60,2023/12/7,16,629.13
SC60,2023/12/7,17,623.62
SC60,2023/12/7,18,614.66
SC60,2023/12/7,19,593.04
SC60,2023/12/7,20,547.19
SC60,2023/12/7,21,497.9
SC60,2023/12/7,22,513.76
SC60,2023/12/7,23,597.37
SC60,2023/12/8,0,637.41
SC60,2023/12/8,1,636.63
SC60,2023/12/8,2,685.75
SC60,2023/12/8,3,678.19
SC60,2023/12/8,4,690.82
SC60,2023/12/8,5,660.45
SC60,2023/12/8,6,635.97
SC60,2023/12/8,7,661.9
SC60,2023/12/8,8,689.79
SC60,2023/12/8,9,714.61
SC60,2023/12/8,10,763.71
SC60,2023/12/8,11,782.79
SC60,2023/12/8,12,780.7
SC60,2023/12/8,13,772.01
SC60,2023/12/8,14,786.71
SC60,2023/12/8,15,767.96
SC60,2023/12/8,16,731.11
SC60,2023/12/8,17,723.5
SC60,2023/12/8,18,709.7
SC60,2023/12/8,19,693.55
SC60,2023/12/8,20,662.63
SC60,2023/12/8,21,635.96
SC60,2023/12/8,22,637.3
SC60,2023/12/8,23,735.46
SC60,2023/12/9,0,666.88
SC60,2023/12/9,1,685.91
SC60,2023/12/9,2,726.81
SC60,2023/12/9,3,700.7
SC60,2023/12/9,4,704.3
SC60,2023/12/9,5,668.36
SC60,2023/12/9,6,659.62
SC60,2023/12/9,7,762.75
SC60,2023/12/9,8,741.11
SC60,2023/12/9,9,777.09
SC60,2023/12/9,10,820.76
SC60,2023/12/9,11,836.4
SC60,2023/12/9,12,834.48
SC60,2023/12/9,13,818.93
SC60,2023/12/9,14,833.26
SC60,2023/12/9,15,817.73
SC60,2023/12/9,16,785.53
SC60,2023/12/9,17,777.26
SC60,2023/12/9,18,757.97
SC60,2023/12/9,19,740.48
SC60,2023/12/9,20,717.07
SC60,2023/12/9,21,686.14
SC60,2023/12/9,22,677.79
SC60,2023/12/9,23,727.94
SC60,2023/12/10,0,607.41
SC60,2023/12/10,1,621.93
SC60,2023/12/10,2,617.19
SC60,2023/12/10,3,596.48
SC60,2023/12/10,4,608.47
SC60,2023/12/10,5,565.05
SC60,2023/12/10,6,575.13
SC60,2023/12/10,7,634.15
SC60,2023/12/10,8,671.55
SC60,2023/12/10,9,741.06
SC60,2023/12/10,10,745.49
SC60,2023/12/10,11,760.3
SC60,2023/12/10,12,756.41
SC60,2023/12/10,13,773.5
SC60,2023/12/10,14,824.41
SC60,2023/12/10,15,828.95
SC60,2023/12/10,16,825.61
SC60,2023/12/10,17,827.3
SC60,2023/12/10,18,788.56
SC60,2023/12/10,19,795.2
SC60,2023/12/10,20,960.37
SC60,2023/12/10,21,1226.03
SC60,2023/12/10,22,1260.3
SC60,2023/12/10,23,1593.7
SC60,2023/12/11,0,1487.83
SC60,2023/12/11,1,1521.78
SC60,2023/12/11,2,1502.66
SC60,2023/12/11,3,1475.47
SC60,2023/12/11,4,1433.97
SC60,2023/12/11,5,1429.44
SC60,2023/12/11,6,1506.73
SC60,2023/12/11,7,2275.58
SC60,2023/12/11,8,1951.59
SC60,2023/12/11,9,1964.49
SC60,2023/12/11,10,1975.09
SC60,2023/12/11,11,1915.47
SC60,2023/12/11,12,1908.68
SC60,2023/12/11,13,1815.39
SC60,2023/12/11,14,1761.5
SC60,2023/12/11,15,1775.02
SC60,2023/12/11,16,1755.61
SC60,2023/12/11,17,1756.53
SC60,2023/12/11,18,1756.75
SC60,2023/12/11,19,1742.4
SC60,2023/12/11,20,1752.82
SC60,2023/12/11,21,1749.01
SC60,2023/12/11,22,1754.77
SC60,2023/12/11,23,1741.91
SC60,2023/12/12,0,1332.06
SC60,2023/12/12,1,1314.27
SC60,2023/12/12,2,1284.6
SC60,2023/12/12,3,1261.62
SC60,2023/12/12,4,1216.05
SC60,2023/12/12,5,1221.47
SC60,2023/12/12,6,1233.06
SC60,2023/12/12,7,1495.61
SC60,2023/12/12,8,1365.05
SC60,2023/12/12,9,1387.63
SC60,2023/12/12,10,1382.69
SC60,2023/12/12,11,1337.18
SC60,2023/12/12,12,1343.79
SC60,2023/12/12,13,1297.39
SC60,2023/12/12,14,1293.65
SC60,2023/12/12,15,1324.88
SC60,2023/12/12,16,1315.14
SC60,2023/12/12,17,1328.26
SC60,2023/12/12,18,1321.7
SC60,2023/12/12,19,1319.04
SC60,2023/12/12,20,1339.45
SC60,2023/12/12,21,1328.42
SC60,2023/12/12,22,1325.17
SC60,2023/12/12,23,1289.44
SC60,2023/12/13,0,1133.06
SC60,2023/12/13,1,1154.12
SC60,2023/12/13,2,1072.44
SC60,2023/12/13,3,1022.33
SC60,2023/12/13,4,980.61
SC60,2023/12/13,5,1003.43
SC60,2023/12/13,6,994.04
SC60,2023/12/13,7,1045.21
SC60,2023/12/13,8,1015.84
SC60,2023/12/13,9,1019.8
SC60,2023/12/13,10,1019.43
SC60,2023/12/13,11,949.34
SC60,2023/12/13,12,1002.79
SC60,2023/12/13,13,992.88
SC60,2023/12/13,14,998.31
SC60,2023/12/13,15,1005.26
SC60,2023/12/13,16,986.39
SC60,2023/12/13,17,975.7
SC60,2023/12/13,18,962.54
SC60,2023/12/13,19,960.42
SC60,2023/12/13,20,999.41
SC60,2023/12/13,21,1034.28
SC60,2023/12/13,22,1013.87
SC60,2023/12/13,23,1007.61
SC60,2023/12/14,0,552.12
SC60,2023/12/14,1,548.25
SC60,2023/12/14,2,545.21
SC60,2023/12/14,3,540.06
SC60,2023/12/14,4,532.51
SC60,2023/12/14,5,563.18
SC60,2023/12/14,6,531.28
SC60,2023/12/14,7,539.44
SC60,2023/12/14,8,499.24
SC60,2023/12/14,9,524.01
SC60,2023/12/14,10,535.09
SC60,2023/12/14,11,537.78
SC60,2023/12/14,12,542.56
SC60,2023/12/14,13,540.02
SC60,2023/12/14,14,536.45
SC60,2023/12/14,15,532.58
SC60,2023/12/14,16,540.45
SC60,2023/12/14,17,532.17
SC60,2023/12/14,18,506.82
SC60,2023/12/14,19,507.93
SC60,2023/12/14,20,505.79
SC60,2023/12/14,21,500.6
SC60,2023/12/14,22,503.26
SC60,2023/12/14,23,493.6
SC60,2023/12/15,0,553.39
SC60,2023/12/15,1,550.6
SC60,2023/12/15,2,550.86
SC60,2023/12/15,3,554.36
SC60,2023/12/15,4,566.44
SC60,2023/12/15,5,595.81
SC60,2023/12/15,6,548.5
SC60,2023/12/15,7,532.8
SC60,2023/12/15,8,497.79
SC60,2023/12/15,9,513.69
SC60,2023/12/15,10,514.61
SC60,2023/12/15,11,510.82
SC60,2023/12/15,12,513.91
SC60,2023/12/15,13,501.51
SC60,2023/12/15,14,499.72
SC60,2023/12/15,15,496.27
SC60,2023/12/15,16,514.21
SC60,2023/12/15,17,504.54
SC60,2023/12/15,18,476.99
SC60,2023/12/15,19,473.04
SC60,2023/12/15,20,459.73
SC60,2023/12/15,21,450.38
SC60,2023/12/15,22,448.77
SC60,2023/12/15,23,466.01
SC60,2023/12/16,0,564.9
SC60,2023/12/16,1,557.49
SC60,2023/12/16,2,558
