Sorting_Center,Date,Shift,Employee
SC60,2023-12-01,Shift1,Temp(0)
SC60,2023-12-01,Shift2,FullTime(45)
SC60,2023-12-01,Shift2,Temp(0)
SC60,2023-12-01,Shift3,FullTime(12)
SC60,2023-12-01,Shift3,FullTime(45)
SC60,2023-12-01,Shift3,FullTime(47)
SC60,2023-12-01,Shift3,FullTime(84)
SC60,2023-12-01,Shift3,FullTime(87)
SC60,2023-12-01,Shift3,FullTime(96)
SC60,2023-12-01,Shift3,FullTime(111)
SC60,2023-12-01,Shift3,FullTime(113)
SC60,2023-12-01,Shift3,FullTime(114)
SC60,2023-12-01,Shift3,FullTime(115)
SC60,2023-12-01,Shift3,FullTime(116)
SC60,2023-12-01,Shift3,FullTime(119)
SC60,2023-12-01,Shift3,FullTime(128)
SC60,2023-12-01,Shift3,FullTime(181)
SC60,2023-12-01,Shift3,Temp(0)
SC60,2023-12-01,Shift4,FullTime(11)
SC60,2023-12-01,Shift4,FullTime(12)
SC60,2023-12-01,Shift4,FullTime(14)
SC60,2023-12-01,Shift4,FullTime(45)
SC60,2023-12-01,Shift4,FullTime(47)
SC60,2023-12-01,Shift4,FullTime(48)
SC60,2023-12-01,Shift4,FullTime(59)
SC60,2023-12-01,Shift4,FullTime(64)
SC60,2023-12-01,Shift4,FullTime(67)
SC60,2023-12-01,Shift4,FullTime(79)
SC60,2023-12-01,Shift4,FullTime(84)
SC60,2023-12-01,Shift4,FullTime(87)
SC60,2023-12-01,Shift4,FullTime(89)
SC60,2023-12-01,Shift4,FullTime(90)
SC60,2023-12-01,Shift4,FullTime(91)
SC60,2023-12-01,Shift4,FullTime(96)
SC60,2023-12-01,Shift4,FullTime(100)
SC60,2023-12-01,Shift4,FullTime(102)
SC60,2023-12-01,Shift4,FullTime(103)
SC60,2023-12-01,Shift4,FullTime(105)
SC60,2023-12-01,Shift4,FullTime(106)
SC60,2023-12-01,Shift4,FullTime(107)
SC60,2023-12-01,Shift4,FullTime(108)
SC60,2023-12-01,Shift4,FullTime(109)
SC60,2023-12-01,Shift4,FullTime(110)
SC60,2023-12-01,Shift4,FullTime(112)
SC60,2023-12-01,Shift4,FullTime(113)
SC60,2023-12-01,Shift4,FullTime(114)
SC60,2023-12-01,Shift4,FullTime(115)
SC60,2023-12-01,Shift4,FullTime(116)
SC60,2023-12-01,Shift4,FullTime(117)
SC60,2023-12-01,Shift4,FullTime(118)
SC60,2023-12-01,Shift4,FullTime(119)
SC60,2023-12-01,Shift4,FullTime(120)
SC60,2023-12-01,Shift4,FullTime(121)
SC60,2023-12-01,Shift4,FullTime(122)
SC60,2023-12-01,Shift4,FullTime(123)
SC60,2023-12-01,Shift4,FullTime(124)
SC60,2023-12-01,Shift4,FullTime(125)
SC60,2023-12-01,Shift4,FullTime(126)
SC60,2023-12-01,Shift4,FullTime(127)
SC60,2023-12-01,Shift4,FullTime(128)
SC60,2023-12-01,Shift4,FullTime(129)
SC60,2023-12-01,Shift4,FullTime(133)
SC60,2023-12-01,Shift4,FullTime(134)
SC60,2023-12-01,Shift4,FullTime(140)
