Date,Shift,Employee Type,Employee ID
2023-11-01,Shift1,Full Time,178
2023-11-01,Shift1,Full Time,189
2023-11-01,Shift1,Full Time,164
2023-11-01,Shift1,Full Time,119
2023-11-01,Shift1,Full Time,174
2023-11-01,Shift1,Full Time,172
2023-11-01,Shift1,Full Time,6
2023-11-01,Shift1,Full Time,150
2023-11-01,Shift1,Full Time,28
2023-11-01,Shift1,Full Time,55
2023-11-01,Shift1,Full Time,52
2023-11-01,Shift1,Full Time,146
2023-11-01,Shift1,Full Time,38
2023-11-01,Shift1,Full Time,90
2023-11-01,Shift1,Full Time,53
2023-11-01,Shift1,Full Time,116
2023-11-01,Shift1,Full Time,188
2023-11-01,Shift1,Full Time,181
2023-11-01,Shift1,Full Time,29
2023-11-01,Shift1,Full Time,137
2023-11-01,Shift1,Full Time,89
2023-11-01,Shift1,Full Time,27
2023-11-01,Shift1,Full Time,144
2023-11-01,Shift1,Full Time,103
2023-11-01,Shift1,Full Time,99
2023-11-01,Shift1,Full Time,69
2023-11-01,Shift1,Full Time,94
2023-11-01,Shift1,Full Time,135
2023-11-01,Shift1,Full Time,17
2023-11-01,Shift1,Full Time,9
2023-11-01,Shift1,Full Time,187
2023-11-01,Shift1,Full Time,4
2023-11-01,Shift1,Full Time,160
2023-11-01,Shift2,Full Time,166
2023-11-01,Shift2,Full Time,47
2023-11-01,Shift2,Full Time,158
2023-11-01,Shift2,Full Time,186
2023-11-01,Shift2,Full Time,142
2023-11-01,Shift2,Full Time,143
2023-11-01,Shift2,Full Time,61
2023-11-01,Shift2,Full Time,156
2023-11-01,Shift2,Full Time,148
2023-11-01,Shift2,Full Time,72
2023-11-01,Shift2,Full Time,163
2023-11-01,Shift2,Full Time,154
2023-11-01,Shift2,Full Time,57
2023-11-01,Shift2,Full Time,88
2023-11-01,Shift2,Full Time,105
2023-11-01,Shift2,Full Time,130
2023-11-01,Shift2,Full Time,165
2023-11-01,Shift2,Full Time,199
2023-11-01,Shift2,Full Time,177
2023-11-01,Shift2,Full Time,20
2023-11-01,Shift2,Full Time,81
2023-11-01,Shift2,Full Time,70
2023-11-01,Shift2,Full Time,117
2023-11-01,Shift2,Full Time,56
2023-11-01,Shift2,Full Time,75
2023-11-01,Shift2,Full Time,93
2023-11-01,Shift2,Full Time,152
2023-11-01,Shift2,Full Time,123
2023-11-01,Shift2,Full Time,138
2023-11-01,Shift2,Full Time,118
2023-11-01,Shift2,Full Time,19
2023-11-01,Shift2,Full Time,54
2023-11-01,Shift3,Full Time,76
2023-11-01,Shift3,Full Time,114
2023-11-01,Shift3,Full Time,112
2023-11-01,Shift3,Full Time,3
2023-11-01,Shift3,Full Time,191
2023-11-01,Shift3,Full Time,85
2023-11-01,Shift3,Full Time,24
2023-11-01,Shift3,Full Time,139
2023-11-01,Shift3,Full Time,64
2023-11-01,Shift3,Full Time,96
2023-11-01,Shift3,Full Time,125
2023-11-01,Shift3,Full Time,98
2023-11-01,Shift3,Full Time,192
2023-11-01,Shift3,Full Time,86
2023-11-01,Shift3,Full Time,95
2023-11-01,Shift3,Full Time,10
2023-11-01,Shift3,Full Time,32
