分拣中心,日期,货量
SC40,2023/9/21,3405.0
SC40,2023/10/4,2780.0
SC40,2023/11/24,2804.0
SC40,2023/9/22,3465.0
SC40,2023/8/7,2711.0
SC40,2023/9/19,3196.0
SC40,2023/9/15,3002.0
SC40,2023/9/8,3511.0
SC40,2023/10/13,2815.0
SC40,2023/11/25,2745.0
SC40,2023/10/8,3020.0
SC40,2023/8/13,2598.0
SC40,2023/8/12,2779.0
SC40,2023/9/16,3010.0
SC40,2023/9/5,3188.0
SC40,2023/8/23,2904.0
SC40,2023/8/10,2750.0
SC40,2023/11/30,3211.0
SC40,2023/9/4,3254.0
SC40,2023/10/22,2659.0
SC40,2023/11/22,2811.0
SC40,2023/9/29,3196.0
SC40,2023/10/21,3050.0
SC40,2023/9/24,3146.0
SC40,2023/11/13,3395.0
SC40,2023/8/28,2902.0
SC40,2023/9/13,3343.0
SC40,2023/8/22,2683.0
SC40,2023/11/6,3847.0
SC40,2023/9/3,3236.0
SC40,2023/9/20,3327.0
SC40,2023/10/18,2839.0
SC40,2023/9/23,3426.0
SC40,2023/9/9,3348.0
SC40,2023/9/11,3220.0
SC40,2023/10/14,2754.0
SC40,2023/10/11,2903.0
SC40,2023/10/28,4123.0
SC40,2023/9/1,4211.0
SC40,2023/11/26,2637.0
SC40,2023/11/4,3946.0
SC40,2023/10/20,3760.0
SC40,2023/11/27,2933.0
SC40,2023/9/26,3531.0
SC40,2023/11/19,2609.0
SC40,2023/9/12,3366.0
SC40,2023/10/12,2790.0
SC40,2023/9/28,3268.0
SC40,2023/10/16,2957.0
SC40,2023/11/9,3783.0
SC40,2023/8/5,2616.0
SC40,2023/10/2,2772.0
SC40,2023/11/29,2882.0
SC40,2023/10/7,2965.0
SC40,2023/9/2,3278.0
SC40,2023/8/9,2805.0
SC40,2023/8/16,2895.0
SC40,2023/10/26,4006.0
SC40,2023/9/27,3380.0
SC40,2023/8/3,2788.0
SC40,2023/8/6,2549.0
SC40,2023/8/1,3152.0
SC40,2023/11/5,3954.0
SC40,2023/8/31,2950.0
SC40,2023/9/18,3175.0
SC40,2023/8/11,2860.0
SC40,2023/8/8,2841.0
SC40,2023/8/14,2738.0
SC40,2023/10/29,3549.0
SC40,2023/11/20,2859.0
SC40,2023/9/17,3010.0
SC40,2023/11/16,2667.0
SC40,2023/8/18,2989.0
SC40,2023/8/20,2617.0
SC40,2023/8/15,2877.0
SC40,2023/9/30,3096.0
SC40,2023/8/24,3118.0
SC40,2023/8/19,2893.0
SC40,2023/11/21,2901.0
SC40,2023/11/28,2929.0
SC40,2023/10/1,2983.0
SC40,2023/9/7,4126.0
SC40,2023/11/17,2581.0
SC40,2023/10/15,2726.0
SC40,2023/10/25,4174.0
SC40,2023/10/10,2889.0
SC40,2023/8/30,2773.0
SC40,2023/8/27,2831.0
SC40,2023/10/30,3579.0
SC40,2023/11/18,2595.0
SC40,2023/9/25,3335.0
SC40,2023/8/26,2822.0
SC40,2023/9/6,3482.0
SC40,2023/9/10,2829.0
SC40,2023/8/25,3110.0
SC40,2023/11/15,2662.0
SC40,2023/8/4,2732.0
SC40,2023/10/19,3556.0
SC40,2023/11/14,2872.0
SC40,2023/9/14,3281.0
SC40,2023/10/9,2858.0
SC40,2023/8/2,2909.0
SC40,2023/8/21,2899.0
SC40,2023/11/23,2919.0
SC40,2023/10/17,2913.0
SC40,2023/11/3,3973.0
SC40,2023/10/6,2924.0
SC40,2023/10/5,2717.0
SC40,2023/8/17,2830.0
SC40,2023/10/3,2828.0
SC40,2023/8/29,2906.0
