SC_ID,date,value
SC51,2023/11/29,11471.0
SC51,2023/10/30,11049.0
SC51,2023/9/14,11328.0
SC51,2023/9/6,11841.0
SC51,2023/11/16,12649.0
SC51,2023/8/18,9809.0
SC51,2023/9/17,11171.0
SC51,2023/8/26,9998.0
SC51,2023/11/7,13792.0
SC51,2023/8/23,9997.0
SC51,2023/8/21,9499.0
SC51,2023/11/15,13104.0
SC51,2023/8/3,9403.0
SC51,2023/11/17,12964.0
SC51,2023/8/20,9505.0
SC51,2023/10/28,12462.0
SC51,2023/8/7,8561.0
SC51,2023/9/16,11624.0
SC51,2023/10/14,10296.0
SC51,2023/9/15,11424.0
SC51,2023/11/10,13804.0
SC51,2023/9/23,11901.0
SC51,2023/8/10,9262.0
SC51,2023/11/9,14586.0
SC51,2023/10/17,10486.0
SC51,2023/10/1,8757.0
SC51,2023/11/4,15144.0
SC51,2023/9/3,10928.0
SC51,2023/11/25,10942.0
SC51,2023/8/28,9669.0
SC51,2023/9/28,11656.0
SC51,2023/10/5,8395.0
SC51,2023/10/16,9866.0
SC51,2023/10/8,10453.0
SC51,2023/9/20,11807.0
SC51,2023/9/22,12509.0
SC51,2023/10/3,7390.0
SC51,2023/11/6,13339.0
SC51,2023/10/23,9932.0
SC51,2023/9/26,12851.0
SC51,2023/9/29,9022.0
SC51,2023/9/24,11838.0
SC51,2023/9/7,12231.0
SC51,2023/10/31,12295.0
SC51,2023/9/13,11473.0
SC51,2023/10/7,9755.0
SC51,2023/10/13,10725.0
SC51,2023/11/23,11048.0
SC51,2023/8/6,8871.0
SC51,2023/11/18,12114.0
SC51,2023/10/15,10028.0
SC51,2023/10/10,10879.0
SC51,2023/11/26,10246.0
SC51,2023/10/18,10674.0
SC51,2023/8/15,9353.0
SC51,2023/9/5,11268.0
SC51,2023/10/12,10438.0
SC51,2023/8/14,8476.0
SC51,2023/11/19,11151.0
SC51,2023/11/30,11278.0
SC51,2023/9/12,10991.0
SC51,2023/8/25,10574.0
SC51,2023/9/27,12601.0
SC51,2023/9/1,11220.0
SC51,2023/8/31,11061.0
SC51,2023/8/4,9645.0
SC51,2023/8/11,9110.0
SC51,2023/8/1,9574.0
SC51,2023/10/24,15082.0
SC51,2023/9/18,11107.0
SC51,2023/11/24,11398.0
SC51,2023/11/27,10976.0
SC51,2023/9/9,11255.0
SC51,2023/9/4,10870.0
SC51,2023/8/19,9962.0
SC51,2023/8/13,8487.0
SC51,2023/9/21,11985.0
SC51,2023/10/19,10397.0
SC51,2023/9/2,12294.0
SC51,2023/9/8,11996.0
SC51,2023/11/22,11690.0
SC51,2023/11/5,14649.0
SC51,2023/9/19,11595.0
SC51,2023/8/9,9478.0
SC51,2023/10/11,10544.0
SC51,2023/10/6,9367.0
SC51,2023/9/25,12036.0
SC51,2023/11/14,14909.0
SC51,2023/10/2,7732.0
SC51,2023/10/21,10874.0
SC51,2023/8/17,9672.0
SC51,2023/8/22,10184.0
SC51,2023/8/8,8950.0
SC51,2023/8/24,10128.0
SC51,2023/9/11,10419.0
SC51,2023/11/20,10838.0
SC51,2023/8/27,9613.0
SC51,2023/11/21,11498.0
SC51,2023/8/30,10551.0
SC51,2023/8/16,9778.0
SC51,2023/11/28,11333.0
SC51,2023/10/22,9684.0
SC51,2023/10/9,10861.0
SC51,2023/11/8,13961.0
SC51,2023/10/4,7830.0
SC51,2023/8/5,9401.0
SC51,2023/8/12,9202.0
SC51,2023/9/10,10982.0
SC51,2023/10/27,13009.0
SC51,2023/8/2,10043.0
SC51,2023/10/20,11062.0
SC51,2023/8/29,10584.0
SC51,2023/10/26,12629.0
SC51,2023/10/29,11821.0
SC51,2023/9/30,9001.0
