分拣中心,日期,小时,货量
SC1,2023-12-01,0,3616.277689033189
SC1,2023-12-01,1,3870.555043650793
SC1,2023-12-01,2,3656.7861150793656
SC1,2023-12-01,3,3614.0429404761903
SC1,2023-12-01,4,3531.494714285714
SC1,2023-12-01,5,2576.385750000001
SC1,2023-12-01,6,354.2269246031746
SC1,2023-12-01,7,1558.3918571428576
SC1,2023-12-01,8,2350.721817460317
SC1,2023-12-01,9,1608.011753968254
SC1,2023-12-01,10,1481.511884920634
SC1,2023-12-01,11,2310.122154761905
SC1,2023-12-01,12,2773.1742694805203
SC1,2023-12-01,13,2309.0531825396824
SC1,2023-12-01,14,190.09418506493512
SC1,2023-12-01,15,446.8016984126984
SC1,2023-12-01,16,1115.3349325396823
SC1,2023-12-01,17,1080.1196626984126
SC1,2023-12-01,18,1127.377531746032
SC1,2023-12-01,19,2043.6170833333335
SC1,2023-12-01,20,3200.1783412698405
SC1,2023-12-01,21,3348.5510674603165
SC1,2023-12-01,22,3538.2494733044737
SC1,2023-12-01,23,3739.762603174602
SC1,2023-12-02,0,4374.375857142858
SC1,2023-12-02,1,3927.2947857142863
SC1,2023-12-02,2,3765.6326666666655
SC1,2023-12-02,3,3719.8883174603175
SC1,2023-12-02,4,3614.303174603175
SC1,2023-12-02,5,2905.603984126984
SC1,2023-12-02,6,657.6298506493507
SC1,2023-12-02,7,1759.6483174603172
SC1,2023-12-02,8,2668.91961904762
SC1,2023-12-02,9,2746.7947023809525
SC1,2023-12-02,10,2328.767892857144
SC1,2023-12-02,11,2672.1466071428567
SC1,2023-12-02,12,3158.376486291485
SC1,2023-12-02,13,2821.1709285714287
SC1,2023-12-02,14,681.0751785714288
SC1,2023-12-02,15,1340.2413888888889
SC1,2023-12-02,16,1804.7270119047612
SC1,2023-12-02,17,1664.0179801587303
SC1,2023-12-02,18,1751.0834126984128
SC1,2023-12-02,19,2376.422404761905
SC1,2023-12-02,20,3366.942706349208
SC1,2023-12-02,21,3080.7850674603187
SC1,2023-12-02,22,3619.0389617604615
SC1,2023-12-02,23,4016.775507936507
SC1,2023-12-03,0,3553.050599206349
SC1,2023-12-03,1,3511.467983044733
SC1,2023-12-03,2,3814.315
SC1,2023-12-03,3,3700.160615079365
SC1,2023-12-03,4,3546.043706349205
SC1,2023-12-03,5,3338.622325396825
SC1,2023-12-03,6,644.7696352813854
SC1,2023-12-03,7,1811.4872063492064
SC1,2023-12-03,8,2574.860384920635
SC1,2023-12-03,9,2150.012535714286
SC1,2023-12-03,10,2015.8649920634928
SC1,2023-12-03,11,2409.5621666666666
SC1,2023-12-03,12,2951.080011904761
SC1,2023-12-03,13,2303.726595238096
SC1,2023-12-03,14,535.6405992063492
SC1,2023-12-03,15,943.003119047619
SC1,2023-12-03,16,1447.3074346764345
SC1,2023-12-03,17,1607.630793650794
SC1,2023-12-03,18,1652.722365079365
SC1,2023-12-03,19,2426.6375595238096
SC1,2023-12-03,20,3215.5178809523813
SC1,2023-12-03,21,3281.664527777777
SC1,2023-12-03,22,3568.368322871574
SC1,2023-12-03,23,3752.935777777777
SC1,2023-12-04,0,3444.847988095238
SC1,2023-12-04,1,3660.1570119047615
SC1,2023-12-04,2,3502.414960317459
SC1,2023-12-04,3,3423.9458531746022
SC1,2023-12-04,4,3388.993920995671
SC1,2023-12-04,5,1882.87619047619
SC1,2023-12-04,6,446.6541150793652
SC1,2023-12-04,7,1625.1135873015874
SC1,2023-12-04,8,2330.7730714285717
SC1,2023-12-04,9,1473.715111111111
SC1,2023-12-04,10,1322.466123015873
SC1,2023-12-04,11,1458.544869047619
SC1,2023-12-04,12,2754.756936507936
SC1,2023-12-04,13,2317.9487420634923
SC1,2023-12-04,14,331.0019166666667
SC1,2023-12-04,15,737.9200952380952
SC1,2023-12-04,16,1149.980841269842
SC1,2023-12-04,17,1104.4595793650792
SC1,2023-12-04,18,1338.4439285714284
SC1,2023-12-04,19,2294.0401468253967
SC1,2023-12-04,20,3369.1476190476183
SC1,2023-12-04,21,3105.7471865079365
SC1,2023-12-04,22,3366.0858470418457
SC1,2023-12-04,23,3582.2102103174607
SC1,2023-12-05,0,3432.8090476190478
SC1,2023-12-05,1,3596.7519960317454
SC1,2023-12-05,2,3579.30948015873
SC1,2023-12-05,3,3402.238880952382
SC1,2023-12-05,4,2853.917662698413
SC1,2023-12-05,5,2201.411162698412
SC1,2023-12-05,6,45.36815079365079
SC1,2023-12-05,7,1246.3368917748917
SC1,2023-12-05,8,2154.98196031746
SC1,2023-12-05,9,1952.083052669552
SC1,2023-12-05,10,1844.1570476190475
SC1,2023-12-05,11,1841.467130952381
SC1,2023-12-05,12,2382.044865079365
SC1,2023-12-05,13,2313.963674603176
SC1,2023-12-05,14,173.20651190476198
SC1,2023-12-05,15,310.3811428571428
SC1,2023-12-05,16,1018.5911904761904
SC1,2023-12-05,17,1075.3928358585858
SC1,2023-12-05,18,1300.724380952381
SC1,2023-12-05,19,2077.057095238096
SC1,2023-12-05,20,3329.799193722944
SC1,2023-12-05,21,3111.6423333333328
SC1,2023-12-05,22,3179.060703102454
SC1,2023-12-05,23,3288.8487770562783
SC1,2023-12-06,0,3984.315384920635
SC1,2023-12-06,1,3678.051484848485
SC1,2023-12-06,2,3414.746670634924
SC1,2023-12-06,3,3733.937591630593
SC1,2023-12-06,4,3255.0418982683973
SC1,2023-12-06,5,2488.274928571428
SC1,2023-12-06,6,494.45049603174607
SC1,2023-12-06,7,1705.9872054334553
SC1,2023-12-06,8,2427.4708575036075
SC1,2023-12-06,9,2116.707687590188
SC1,2023-12-06,10,2200.076317460317
SC1,2023-12-06,11,2480.0201576479067
SC1,2023-12-06,12,2897.8606394993885
SC1,2023-12-06,13,3015.79078102453
SC1,2023-12-06,14,800.9634722222222
SC1,2023-12-06,15,1008.0046889499388
SC1,2023-12-06,16,1348.224516955267
SC1,2023-12-06,17,1546.7853095238097
SC1,2023-12-06,18,1688.0406038961044
SC1,2023-12-06,19,2632.8704613997124
SC1,2023-12-06,20,3370.4554206349208
SC1,2023-12-06,21,3423.1774000721502
SC1,2023-12-06,22,3771.648130952381
SC1,2023-12-06,23,3820.117317460319
SC1,2023-12-07,0,3577.07182792208
SC1,2023-12-07,1,3551.6478795093785
SC1,2023-12-07,2,3796.034940476189
SC1,2023-12-07,3,3584.625541125541
SC1,2023-12-07,4,3633.3162723665214
SC1,2023-12-07,5,2966.127980158732
SC1,2023-12-07,6,408.3183690476191
SC1,2023-12-07,7,1179.30563997114
SC1,2023-12-07,8,2365.0665230880227
SC1,2023-12-07,9,2015.3794325396825
SC1,2023-12-07,10,1700.5434558497052
SC1,2023-12-07,11,2185.824177128427
SC1,2023-12-07,12,3092.805873015874
SC1,2023-12-07,13,2702.5681562049062
SC1,2023-12-07,14,564.7606190476189
SC1,2023-12-07,15,906.7156522366522
SC1,2023-12-07,16,1181.7573228715728
SC1,2023-12-07,17,1301.423995310245
SC1,2023-12-07,18,1439.62603066378
SC1,2023-12-07,19,2198.772674603175
SC1,2023-12-07,20,2855.864746392496
SC1,2023-12-07,21,2992.8261847041845
SC1,2023-12-07,22,3727.8521593684086
SC1,2023-12-07,23,3592.859631132756
SC1,2023-12-08,0,3616.277689033189
SC1,2023-12-08,1,3870.555043650793
SC1,2023-12-08,2,3656.7861150793656
SC1,2023-12-08,3,3614.0429404761903
SC1,2023-12-08,4,3531.494714285714
SC1,2023-12-08,5,2576.385750000001
SC1,2023-12-08,6,354.2269246031746
SC1,2023-12-08,7,1558.3918571428576
SC1,2023-12-08,8,2350.721817460317
SC1,2023-12-08,9,1608.011753968254
SC1,2023-12-08,10,1481.511884920634
SC1,2023-12-08,11,2310.122154761905
SC1,2023-12-08,12,2773.1742694805203
SC1,2023-12-08,13,2309.0531825396824
SC1,2023-12-08,14,190.09418506493512
SC1,2023-12-08,15,446.8016984126984
SC1,2023-12-08,16,1115.3349325396823
SC1,2023-12-08,17,1080.1196626984126
SC1,2023-12-08,18,1127.377531746032
SC1,2023-12-08,19,2043.6170833333335
SC1,2023-12-08,20,3200.1783412698405
SC1,2023-12-08,21,3348.5510674603165
SC1,2023-12-08,22,3538.2494733044737
SC1,2023-12-08,23,3739.762603174602
SC1,2023-12-09,0,4374.375857142858
SC1,2023-12-09,1,3927.2947857142863
SC1,2023-12-09,2,3765.6326666666655
SC1,2023-12-09,3,3719.8883174603175
SC1,2023-12-09,4,3614.303174603175
SC1,2023-12-09,5,2905.603984126984
SC1,2023-12-09,6,657.6298506493507
SC1,2023-12-09,7,1759.6483174603172
SC1,2023-12-09,8,2668.91961904762
SC1,2023-12-09,9,2746.7947023809525
SC1,2023-12-09,10,2328.767892857144
SC1,2023-12-09,11,2672.1466071428567
SC1,2023-12-09,12,3158.376486291485
SC1,2023-12-09,13,2821.1709285714287
SC1,2023-12-09,14,681.0751785714288
SC1,2023-12-09,15,1340.2413888888889
SC1,2023-12-09,16,1804.7270119047612
SC1,2023-12-09,17,1664.0179801587303
SC1,2023-12-09,18,1751.0834126984128
SC1,2023-12-09,19,2376.422404761905
SC1,2023-12-09,20,3366.942706349208
SC1,2023-12-09,21,3080.7850674603187
SC1,2023-12-09,22,3619.0389617604615
SC1,2023-12-09,23,4016.775507936507
SC1,2023-12-10,0,3553.050599206349
SC1,2023-12-10,1,3511.467983044733
SC1,2023-12-10,2,3814.315
SC1,2023-12-10,3,3700.160615079365
SC1,2023-12-10,4,3546.043706349205
SC1,2023-12-10,5,3338.622325396825
SC1,2023-12-10,6,644.7696352813854
SC1,2023-12-10,7,1811.4872063492064
SC1,2023-12-10,8,2574.860384920635
SC1,2023-12-10,9,2150.012535714286
SC1,2023-12-10,10,2015.8649920634928
SC1,2023-12-10,11,2409.5621666666666
SC1,2023-12-10,12,2951.080011904761
SC1,2023-12-10,13,2303.726595238096
SC1,2023-12-10,14,535.6405992063492
SC1,2023-12-10,15,943.003119047619
SC1,2023-12-10,16,1447.3074346764345
SC1,2023-12-10,17,1607.630793650794
SC1,2023-12-10,18,1652.722365079365
SC1,2023-12-10,19,2426.6375595238096
SC1,2023-12-10,20,3215.5178809523813
SC1,2023-12-10,21,3281.664527777777
SC1,2023-12-10,22,3568.368322871574
SC1,2023-12-10,23,3752.935777777777
SC1,2023-12-11,0,3444.847988095238
SC1,2023-12-11,1,3660.1570119047615
SC1,2023-12-11,2,3502.414960317459
SC1,2023-12-11,3,3423.9458531746022
SC1,2023-12-11,4,3388.993920995671
SC1,2023-12-11,5,1882.87619047619
SC1,2023-12-11,6,446.6541150793652
SC1,2023-12-11,7,1625.1135873015874
SC1,2023-12-11,8,2330.7730714285717
SC1,2023-12-11,9,1473.715111111111
SC1,2023-12-11,10,1322.466123015873
SC1,2023-12-11,11,1458.544869047619
