分拣中心,日期,货量
SC48,2023/9/5,723.0
SC48,2023/10/24,930.25
SC48,2023/8/5,754.0
SC48,2023/11/16,754.0
SC48,2023/11/9,771.0
SC48,2023/10/29,692.0
SC48,2023/9/8,819.0
SC48,2023/10/19,643.0
SC48,2023/10/23,590.0
SC48,2023/8/20,648.0
SC48,2023/8/30,683.0
SC48,2023/11/1,930.25
SC48,2023/8/22,693.0
SC48,2023/8/21,714.0
SC48,2023/11/15,692.0
SC48,2023/9/29,844.0
SC48,2023/11/8,784.0
SC48,2023/8/10,698.0
SC48,2023/10/27,835.0
SC48,2023/11/28,613.0
SC48,2023/10/5,775.0
SC48,2023/8/16,690.0
SC48,2023/8/2,697.0
SC48,2023/11/11,930.25
SC48,2023/11/17,781.0
SC48,2023/8/7,683.0
SC48,2023/10/2,761.0
SC48,2023/8/23,704.0
SC48,2023/10/15,690.0
SC48,2023/11/2,930.25
SC48,2023/8/26,716.0
SC48,2023/8/24,715.0
SC48,2023/11/27,637.0
SC48,2023/9/20,725.0
SC48,2023/11/20,690.0
SC48,2023/8/4,673.0
SC48,2023/8/27,704.0
SC48,2023/10/14,726.0
SC48,2023/8/9,737.0
SC48,2023/11/22,621.0
SC48,2023/8/29,704.0
SC48,2023/10/26,828.0
SC48,2023/11/3,930.25
SC48,2023/9/14,743.0
SC48,2023/9/9,824.0
SC48,2023/10/10,737.0
SC48,2023/8/19,692.0
SC48,2023/9/11,753.0
SC48,2023/10/7,786.0
SC48,2023/10/17,739.0
SC48,2023/9/3,796.0
SC48,2023/10/21,674.0
SC48,2023/8/12,696.0
SC48,2023/10/20,646.0
SC48,2023/8/25,787.0
SC48,2023/8/8,649.0
SC48,2023/9/15,730.0
SC48,2023/9/17,715.0
SC48,2023/9/22,713.0
SC48,2023/8/14,659.0
SC48,2023/9/12,715.0
SC48,2023/10/6,730.0
SC48,2023/10/13,738.0
SC48,2023/11/26,583.0
SC48,2023/8/28,716.0
SC48,2023/8/11,774.0
SC48,2023/9/10,734.0
SC48,2023/10/12,731.0
SC48,2023/11/7,930.25
SC48,2023/11/30,596.0
SC48,2023/11/24,624.0
SC48,2023/9/28,798.0
SC48,2023/9/26,842.0
SC48,2023/8/6,664.0
SC48,2023/8/3,657.0
SC48,2023/8/15,704.0
SC48,2023/9/18,751.0
SC48,2023/10/30,675.0
SC48,2023/9/7,824.0
SC48,2023/8/17,658.0
SC48,2023/9/16,766.0
SC48,2023/10/16,707.0
SC48,2023/9/21,708.0
SC48,2023/9/1,930.25
SC48,2023/11/18,795.0
SC48,2023/10/8,820.0
SC48,2023/9/6,722.0
SC48,2023/11/14,712.0
SC48,2023/8/13,599.0
SC48,2023/11/21,628.0
SC48,2023/9/30,913.0
SC48,2023/9/27,818.0
SC48,2023/10/3,707.0
SC48,2023/11/12,930.25
SC48,2023/8/31,691.0
SC48,2023/10/28,748.0
SC48,2023/11/25,651.0
SC48,2023/9/24,686.0
SC48,2023/9/23,724.0
SC48,2023/9/2,896.0
SC48,2023/9/19,706.0
SC48,2023/11/6,811.0
SC48,2023/10/25,930.25
SC48,2023/10/9,719.0
SC48,2023/10/22,550.0
SC48,2023/10/31,588.0
SC48,2023/10/18,665.0
SC48,2023/11/23,621.0
SC48,2023/11/13,780.0
SC48,2023/11/5,769.0
SC48,2023/10/4,741.0
SC48,2023/11/10,663.0
SC48,2023/11/4,930.25
SC48,2023/9/13,706.0
SC48,2023/11/29,597.0
SC48,2023/10/1,847.0
SC48,2023/10/11,754.0
SC48,2023/9/25,785.0
SC48,2023/8/1,685.0
SC48,2023/8/18,710.0
SC48,2023/9/4,807.0
SC48,2023/11/19,601.0
SC61,2023/10/23,759.0
SC61,2023/11/28,749.0
SC61,2023/8/7,874.0
SC61,2023/11/15,660.0
SC61,2023/8/25,849.0
SC61,2023/8/14,724.0
SC61,2023/11/29,648.0
