center,日期,hour,value
SC54,2023/11/6,19,784.0
SC54,2023/11/21,5,72.0
SC54,2023/11/30,12,209.0
SC54,2023/11/13,1,511.0
SC54,2023/11/4,12,278.0
SC54,2023/11/4,21,1235.0
SC54,2023/11/5,18,893.0
SC54,2023/11/15,18,558.0
SC54,2023/11/9,2,256.0
SC54,2023/11/29,13,443.0
SC54,2023/11/2,4,439.0
SC54,2023/11/27,2,86.0
SC54,2023/11/27,20,571.0
SC54,2023/11/17,21,576.0
SC54,2023/11/10,4,193.0
SC54,2023/11/8,21,1093.0
SC54,2023/11/19,9,440.0
SC54,2023/11/4,14,828.0
SC54,2023/11/27,17,136.0
SC54,2023/11/23,3,77.0
SC54,2023/11/26,16,749.0
SC54,2023/11/27,10,585.0
SC54,2023/11/9,11,676.0
SC54,2023/11/10,20,1385.125
SC54,2023/11/17,18,838.0
SC54,2023/11/21,22,692.0
SC54,2023/11/9,19,663.0
SC54,2023/11/17,5,70.0
SC54,2023/11/24,13,419.0
SC54,2023/11/21,1,51.0
SC54,2023/11/12,2,622.125
SC54,2023/11/13,14,710.0
SC54,2023/11/11,6,347.125
SC54,2023/11/24,23,619.0
SC54,2023/11/19,5,73.0
SC54,2023/11/8,2,291.0
SC54,2023/11/8,20,804.0
SC54,2023/11/1,4,483.0
SC54,2023/11/19,4,64.0
SC54,2023/11/25,15,218.0
SC54,2023/11/11,5,442.75
SC54,2023/11/1,11,1030.625
SC54,2023/11/4,2,300.0
SC54,2023/11/11,15,1455.0
SC54,2023/11/2,14,1206.0
SC54,2023/11/13,21,992.0
SC54,2023/11/13,12,202.0
SC54,2023/11/15,7,95.0
SC54,2023/11/3,9,548.0
SC54,2023/11/17,4,147.0
SC54,2023/11/17,23,689.0
SC54,2023/11/28,12,128.0
SC54,2023/11/28,21,609.0
SC54,2023/11/25,9,464.0
SC54,2023/11/6,15,696.0
SC54,2023/11/11,0,383.0
SC54,2023/11/25,11,471.0
SC54,2023/11/3,19,938.0
SC54,2023/11/12,12,615.0
SC54,2023/11/8,12,506.0
SC54,2023/11/15,8,124.0
SC54,2023/11/17,19,838.0
SC54,2023/11/12,10,967.5
SC54,2023/11/1,2,622.125
SC54,2023/11/20,5,66.0
SC54,2023/11/16,23,791.0
SC54,2023/11/22,15,276.0
SC54,2023/11/22,5,82.0
SC54,2023/11/1,0,383.0
SC54,2023/11/26,19,508.0
SC54,2023/11/9,7,136.0
SC54,2023/11/16,4,64.0
SC54,2023/11/18,19,578.0
SC54,2023/11/14,5,96.0
SC54,2023/11/3,6,210.0
SC54,2023/11/14,16,402.0
SC54,2023/11/20,16,796.0
SC54,2023/11/26,21,577.0
SC54,2023/11/17,0,237.0
SC54,2023/11/30,20,713.0
SC54,2023/11/6,9,462.0
SC54,2023/11/24,11,541.0
SC54,2023/11/12,16,1192.0
SC54,2023/11/28,2,95.0
SC54,2023/11/21,0,214.0
SC54,2023/11/19,13,376.0
SC54,2023/11/4,20,1231.0
SC54,2023/11/1,19,1234.5
SC54,2023/11/3,5,222.0
SC54,2023/11/3,15,785.0
SC54,2023/11/19,23,711.0
SC54,2023/11/28,20,450.0
SC54,2023/11/17,13,449.0
SC54,2023/11/29,14,38.0
SC54,2023/11/8,16,957.0
SC54,2023/11/18,10,554.0
SC54,2023/11/21,23,642.0
SC54,2023/11/26,17,105.0
SC54,2023/11/13,0,218.0
SC54,2023/11/18,17,148.0
SC54,2023/11/10,22,1747.75
SC54,2023/11/18,18,530.0
SC54,2023/11/23,22,635.0
SC54,2023/11/24,17,122.0
SC54,2023/11/5,16,531.0
SC54,2023/11/14,18,860.0
SC54,2023/11/8,5,202.0
SC54,2023/11/13,19,843.0
SC54,2023/11/20,18,612.0
SC54,2023/11/23,7,100.0
SC54,2023/11/8,15,1118.0
SC54,2023/11/1,10,967.5
SC54,2023/11/3,11,695.0
SC54,2023/11/11,19,1234.5
SC54,2023/11/11,11,1030.625
SC54,2023/11/27,0,173.0
SC54,2023/11/12,5,442.75
SC54,2023/11/12,15,1215.0
SC54,2023/11/13,11,579.0
SC54,2023/11/8,17,268.0
SC54,2023/11/18,11,533.0
SC54,2023/11/23,14,164.0
SC54,2023/11/25,3,68.0
SC54,2023/11/10,13,572.0
SC54,2023/11/25,5,65.0
